Inspection Date,Inspection Type,Facility Name,Inspection Number,url_inspection,url_inspection_full,url_entity_full
20-Jan-2023,Required,A&W - Restaurant,99513,location.href = '/Portal/Inspection/Details/4b1ef9e2-314e-4c81-ba45-2e8eb7fb2b4e' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/4b1ef9e2-314e-4c81-ba45-2e8eb7fb2b4e,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a9a62147-9262-410a-8db7-d2050bc3095b
23-Jan-2024,Required,A&W - Restaurant,160518,location.href = '/Portal/Inspection/Details/601d8142-213e-49a2-af5f-9bb6731265de' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/601d8142-213e-49a2-af5f-9bb6731265de,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8
30-Jan-2023,Required,A&W - Restaurant,100455,location.href = '/Portal/Inspection/Details/6acf64d5-1faf-43c1-8994-a9e87f0aef11' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/6acf64d5-1faf-43c1-8994-a9e87f0aef11,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8
19-May-2022,Required,A&W - Restaurant,81642,location.href = '/Portal/Inspection/Details/43141d7a-8d5c-4335-a014-cef483ded9e5' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/43141d7a-8d5c-4335-a014-cef483ded9e5,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d83fcf77-acd7-46f9-956b-e53d59aa7ec8
21-Apr-2023,Required,A&W - Restaurant,113813,location.href = '/Portal/Inspection/Details/881ee2a3-3ba8-4af3-91a7-51f2af117aa7' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/881ee2a3-3ba8-4af3-91a7-51f2af117aa7,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1ba4f68-6740-466e-975a-f250963c8adb
07-Oct-2022,Required,A&W - Restaurant,90173,location.href = '/Portal/Inspection/Details/a81f5fe4-2ef7-420f-8c2e-7085109f7c4b' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/a81f5fe4-2ef7-420f-8c2e-7085109f7c4b,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c1ba4f68-6740-466e-975a-f250963c8adb
14-Feb-2024,Required,A&W - Restaurant,162307,location.href = '/Portal/Inspection/Details/c307d1aa-f8a8-461e-9502-27d4c161bbcd' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/c307d1aa-f8a8-461e-9502-27d4c161bbcd,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f6a27032-beac-4a88-8f9e-90f61fdf6b5b
29-Sep-2023,Required,A&W Churchill Bvd. - Restaurant,143175,location.href = '/Portal/Inspection/Details/7f6a8ea1-ac91-40eb-8320-dac2b42dbf33' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/7f6a8ea1-ac91-40eb-8320-dac2b42dbf33,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7fdc46a6-da3c-4a8e-acef-5522729527db
11-May-2023,Required,A&W Churchill Bvd. - Restaurant,119240,location.href = '/Portal/Inspection/Details/a82f6fbd-ee67-4b7c-bafc-f00b8bdb500d' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/a82f6fbd-ee67-4b7c-bafc-f00b8bdb500d,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7fdc46a6-da3c-4a8e-acef-5522729527db
24-Nov-2023,Required,Absolutely Delicious - Restaurant,156937,location.href = '/Portal/Inspection/Details/c00f85f0-f8f6-429d-bab2-51080a038afb' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/c00f85f0-f8f6-429d-bab2-51080a038afb,http://disclosure.algomapublichealth.com/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46
12-Jan-2023,Required,Absolutely Delicious - Restaurant,98594,location.href = '/Portal/Inspection/Details/2219de9c-f0b8-4fa0-b44b-6ee33af4468c' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/2219de9c-f0b8-4fa0-b44b-6ee33af4468c,http://disclosure.algomapublichealth.com/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46
11-Aug-2022,Follow-up,Absolutely Delicious - Restaurant,87985,location.href = '/Portal/Inspection/Details/a1699d69-4114-402a-8908-57d0f49750fd' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/a1699d69-4114-402a-8908-57d0f49750fd,http://disclosure.algomapublichealth.com/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46
26-Jul-2022,Required,Absolutely Delicious - Restaurant,87405,location.href = '/Portal/Inspection/Details/af931579-726c-44cf-a3a6-498132a01ad8' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/af931579-726c-44cf-a3a6-498132a01ad8,http://disclosure.algomapublichealth.com/Portal/Facility/Details/11ce7064-cc7a-4446-9c85-23b8a7d9ff46
21-Jun-2023,Required,"Agawa Crafts & The Canadian Carver, Carver Cafe - Convenience / Variety",128450,location.href = '/Portal/Inspection/Details/f31ac8dc-ba69-4326-8718-7e057c39ac04' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/f31ac8dc-ba69-4326-8718-7e057c39ac04,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23824102-df73-4685-aeee-42f4ebfa5777
28-Jun-2022,Required,"Agawa Crafts & The Canadian Carver, Carver Cafe - Convenience / Variety",86900,location.href = '/Portal/Inspection/Details/34b51744-0357-4857-a02b-048963759260' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/34b51744-0357-4857-a02b-048963759260,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23824102-df73-4685-aeee-42f4ebfa5777
11-Jul-2023,Required,Agawa Fish & Chips - Mobile Preparation Premises,132012,location.href = '/Portal/Inspection/Details/9d958695-6ba8-488e-9e74-015a6f075445' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/9d958695-6ba8-488e-9e74-015a6f075445,http://disclosure.algomapublichealth.com/Portal/Facility/Details/db5b76bf-f534-4108-9ac7-ead26d919ecc
28-Jun-2022,Required,Agawa Fish & Chips - Mobile Preparation Premises,86907,location.href = '/Portal/Inspection/Details/add051d9-1b68-45ce-be52-eaa130b5dd58' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/add051d9-1b68-45ce-be52-eaa130b5dd58,http://disclosure.algomapublichealth.com/Portal/Facility/Details/db5b76bf-f534-4108-9ac7-ead26d919ecc
18-Aug-2023,Required,Agree Outpost Camp Food - Restaurant,136712,location.href = '/Portal/Inspection/Details/04ff3f75-e0aa-4c9a-8764-f0545f06a9d9' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/04ff3f75-e0aa-4c9a-8764-f0545f06a9d9,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6a2a1f42-5ad3-4728-89ea-f846cb76c3c4
08-Jul-2022,Required,Agree Outpost Camp Food - Restaurant,87106,location.href = '/Portal/Inspection/Details/01d0bdb2-1cbc-4dc9-ba9f-eefe97865b43' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/01d0bdb2-1cbc-4dc9-ba9f-eefe97865b43,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6a2a1f42-5ad3-4728-89ea-f846cb76c3c4
27-Jun-2023,Required,Airdale Hunting and Fishing Lodge Kitchen - Restaurant,129158,location.href = '/Portal/Inspection/Details/7045e0cd-55d0-44cc-b6f6-bf262162eb17' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/7045e0cd-55d0-44cc-b6f6-bf262162eb17,http://disclosure.algomapublichealth.com/Portal/Facility/Details/357b3755-1f86-49d9-ac87-50bed40307b9
28-Jun-2022,Required,Airdale Hunting and Fishing Lodge Kitchen - Restaurant,86897,location.href = '/Portal/Inspection/Details/fe1d04bd-9aed-4bc0-972d-064eef962a0a' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/fe1d04bd-9aed-4bc0-972d-064eef962a0a,http://disclosure.algomapublichealth.com/Portal/Facility/Details/357b3755-1f86-49d9-ac87-50bed40307b9
30-Jan-2024,Required,Airways General Store - Convenience / Variety,161584,location.href = '/Portal/Inspection/Details/f7c180f9-b26f-4140-a512-ce1c3ba71d14' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/f7c180f9-b26f-4140-a512-ce1c3ba71d14,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ef1f3e61-0762-40e6-b3bf-62b5b139bb0c
01-Mar-2023,Required,Airways General Store - Convenience / Variety,104229,location.href = '/Portal/Inspection/Details/0c68f858-a6fc-496b-b2f8-527222bdb601' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/0c68f858-a6fc-496b-b2f8-527222bdb601,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ef1f3e61-0762-40e6-b3bf-62b5b139bb0c
05-Dec-2023,Required,AJ's Pizza - Food Take Out,157963,location.href = '/Portal/Inspection/Details/874228ed-0ec0-4c32-9457-d9901f0e00a6' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/874228ed-0ec0-4c32-9457-d9901f0e00a6,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a7fb0b40-8902-47a1-9d35-cef8f2b086f1
30-Jun-2023,Required,AJ's Pizza - Food Take Out,130251,location.href = '/Portal/Inspection/Details/db71e0a9-7407-4fdf-afe8-20961d59bf71' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/db71e0a9-7407-4fdf-afe8-20961d59bf71,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a7fb0b40-8902-47a1-9d35-cef8f2b086f1
19-Dec-2022,Required,AJ's Pizza - Food Take Out,96270,location.href = '/Portal/Inspection/Details/8f1cd7c3-b278-4cd1-b319-ea16c9472c7b' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8f1cd7c3-b278-4cd1-b319-ea16c9472c7b,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a7fb0b40-8902-47a1-9d35-cef8f2b086f1
12-Mar-2024,Required,Alamos Gold Inc. Kitchen - Serving Kitchen,164101,location.href = '/Portal/Inspection/Details/953ec600-ba59-40ab-8abb-37f8b63c76c8' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/953ec600-ba59-40ab-8abb-37f8b63c76c8,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424
14-Aug-2023,Required,Alamos Gold Inc. Kitchen - Serving Kitchen,135612,location.href = '/Portal/Inspection/Details/9ccc8bb5-c15b-4950-8afc-943aa137da5e' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/9ccc8bb5-c15b-4950-8afc-943aa137da5e,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424
17-Feb-2023,Required,Alamos Gold Inc. Kitchen - Serving Kitchen,102745,location.href = '/Portal/Inspection/Details/8b62af2d-ae62-401c-8c93-9fd9249c4afb' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8b62af2d-ae62-401c-8c93-9fd9249c4afb,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424
23-Sep-2022,Required,Alamos Gold Inc. Kitchen - Serving Kitchen,89189,location.href = '/Portal/Inspection/Details/90835d23-f734-4142-b797-1e6a85f4bdd2' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/90835d23-f734-4142-b797-1e6a85f4bdd2,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc451a9-d924-44e1-8c8e-e0a56216d424
20-Sep-2023,Required,Algoma Conservatory of Music - Serving Kitchen,142028,location.href = '/Portal/Inspection/Details/6011d992-6eba-4768-9a92-4806a5b8bc5e' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/6011d992-6eba-4768-9a92-4806a5b8bc5e,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1f14598b-c606-48fa-bd97-9407c1e6a082
06-Apr-2023,Required,Algoma Conservatory of Music - Serving Kitchen,110983,location.href = '/Portal/Inspection/Details/d1ad7210-5f91-4b1b-8ead-ff4df0cd7523' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/d1ad7210-5f91-4b1b-8ead-ff4df0cd7523,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1f14598b-c606-48fa-bd97-9407c1e6a082
27-Jul-2022,Required,Algoma Conservatory of Music - Serving Kitchen,87411,location.href = '/Portal/Inspection/Details/875c8629-ab2a-444a-bb06-cbfbb9ab7587' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/875c8629-ab2a-444a-bb06-cbfbb9ab7587,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1f14598b-c606-48fa-bd97-9407c1e6a082
05-Dec-2023,Required,Algoma Dairy Distributor - Food Warehouse / Depot,157791,location.href = '/Portal/Inspection/Details/0c51050d-4f45-42a3-b51f-7934179384dc' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/0c51050d-4f45-42a3-b51f-7934179384dc,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23d17671-0acf-4de3-943a-4b5f7088dd5e
16-Nov-2022,Required,Algoma Dairy Distributor - Food Warehouse / Depot,93492,location.href = '/Portal/Inspection/Details/bfa94210-da2f-4566-a70f-ec3e4ae7f2c5' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/bfa94210-da2f-4566-a70f-ec3e4ae7f2c5,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23d17671-0acf-4de3-943a-4b5f7088dd5e
17-Apr-2024,Required,Algoma Manor - Long Term Care Facility,167268,location.href = '/Portal/Inspection/Details/2a3f8f58-5227-4fee-ab83-4b4c3bcea77c' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/2a3f8f58-5227-4fee-ab83-4b4c3bcea77c,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
16-Nov-2023,Required,Algoma Manor - Long Term Care Facility,155361,location.href = '/Portal/Inspection/Details/5bd48083-87aa-48f4-aaba-3bdcc83e1133' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/5bd48083-87aa-48f4-aaba-3bdcc83e1133,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
31-Jul-2023,Required,Algoma Manor - Long Term Care Facility,133851,location.href = '/Portal/Inspection/Details/8355f32a-c866-432b-b689-d6df429237b9' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/8355f32a-c866-432b-b689-d6df429237b9,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
14-Mar-2023,Required,Algoma Manor - Long Term Care Facility,107424,location.href = '/Portal/Inspection/Details/a1ceb739-68d4-467f-b9b4-c860a400e929' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/a1ceb739-68d4-467f-b9b4-c860a400e929,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
22-Nov-2022,Follow-up,Algoma Manor - Long Term Care Facility,93951,location.href = '/Portal/Inspection/Details/1f5df21a-988a-4b40-85f0-729779d4e1df' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/1f5df21a-988a-4b40-85f0-729779d4e1df,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
01-Nov-2022,Required,Algoma Manor - Long Term Care Facility,92543,location.href = '/Portal/Inspection/Details/16bd0502-24f0-49bb-a2ab-a34df13f143a' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/16bd0502-24f0-49bb-a2ab-a34df13f143a,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
19-Jul-2022,Required,Algoma Manor - Long Term Care Facility,87300,location.href = '/Portal/Inspection/Details/ebdce0d1-21d8-4960-aeee-8565663bf882' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/ebdce0d1-21d8-4960-aeee-8565663bf882,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83b314e4-70c7-45c3-8feb-f0c8007b42d9
12-Feb-2024,Required,Algoma Residential Community Hospice - Hospice,161944,location.href = '/Portal/Inspection/Details/cd0bf509-b2e1-433f-a551-5a788c60df1f' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/cd0bf509-b2e1-433f-a551-5a788c60df1f,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e9d4646e-bab5-4c47-9093-783fae363ad4
27-Jan-2023,Required,Algoma Residential Community Hospice - Hospice,100436,location.href = '/Portal/Inspection/Details/48ff3f24-d099-4ca2-9dde-1f8af68ad1ef' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/48ff3f24-d099-4ca2-9dde-1f8af68ad1ef,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e9d4646e-bab5-4c47-9093-783fae363ad4
04-Jan-2023,Required,Algoma Rod & Gun Club Inc. - Serving Kitchen,96887,location.href = '/Portal/Inspection/Details/4edb7a79-0a78-4823-b754-91e7c07b2302' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/4edb7a79-0a78-4823-b754-91e7c07b2302,http://disclosure.algomapublichealth.com/Portal/Facility/Details/73f6865d-596e-441c-823b-a92a6e2a3412
26-Feb-2024,Required,Algoma Treatment and Remand Centre - Institutional Servery,162751,location.href = '/Portal/Inspection/Details/969132ba-f3bb-4d51-9b7b-e5ad0a97f6b7' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/969132ba-f3bb-4d51-9b7b-e5ad0a97f6b7,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf
08-Sep-2023,Required,Algoma Treatment and Remand Centre - Institutional Servery,139047,location.href = '/Portal/Inspection/Details/911624b7-a155-4bce-8d4d-62f602ad7134' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/911624b7-a155-4bce-8d4d-62f602ad7134,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf
12-Jan-2023,Required,Algoma Treatment and Remand Centre - Institutional Servery,98486,location.href = '/Portal/Inspection/Details/d9cc0ebf-8c8a-4c33-9be2-39e4a0d3ae25' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/d9cc0ebf-8c8a-4c33-9be2-39e4a0d3ae25,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf
11-Aug-2022,Required,Algoma Treatment and Remand Centre - Institutional Servery,87979,location.href = '/Portal/Inspection/Details/543e3bf2-71fb-4f17-8491-1b149ee591e8' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/543e3bf2-71fb-4f17-8491-1b149ee591e8,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1cca5d27-c9f1-4750-9b51-d93dee8267cf
26-Oct-2023,Required,Algoma University Student Food Pantry - Food Bank,150167,location.href = '/Portal/Inspection/Details/d30b0f94-8574-4818-b320-d4b8e5f441a3' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/d30b0f94-8574-4818-b320-d4b8e5f441a3,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0cd8e0d4-91f0-455f-b51d-4d59e5a7f271
16-Jan-2024,Required,Algoma Youth Wellness Hub - Community Kitchen,159460,location.href = '/Portal/Inspection/Details/cfca87d6-394c-4ef5-8a10-c88b1df7d3da' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/cfca87d6-394c-4ef5-8a10-c88b1df7d3da,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0286efc8-d014-4f82-ad5d-3db61b65a5ea
19-Mar-2024,Required,Alina's Kitchen - Food Take Out,164840,location.href = '/Portal/Inspection/Details/b702e106-ea42-4c02-93a8-c5a11e76d736' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/b702e106-ea42-4c02-93a8-c5a11e76d736,http://disclosure.algomapublichealth.com/Portal/Facility/Details/81f32e0c-cfde-4d91-866c-4814e48044b9
21-Dec-2023,Required,All Homemade Catering - Food Caterer,158584,location.href = '/Portal/Inspection/Details/f1c2bee8-98cc-4a07-ad73-3d5f730db153' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/f1c2bee8-98cc-4a07-ad73-3d5f730db153,http://disclosure.algomapublichealth.com/Portal/Facility/Details/bd112210-da51-4c0c-94d4-6a4fdb6d720d
08-May-2023,Required,All Homemade Catering - Food Caterer,118379,location.href = '/Portal/Inspection/Details/f1e837c1-5982-4f05-b970-cf2e764a8658' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/f1e837c1-5982-4f05-b970-cf2e764a8658,http://disclosure.algomapublichealth.com/Portal/Facility/Details/bd112210-da51-4c0c-94d4-6a4fdb6d720d
09-Aug-2023,Required,All Tribes Christian Camp Kitchen - Serving Kitchen,136239,location.href = '/Portal/Inspection/Details/a414bdc0-2b45-4d58-9388-bfce0e4b21b1' ,http://disclosure.algomapublichealth.com/Portal/Inspection/Details/a414bdc0-2b45-4d58-9388-bfce0e4b21b1,http://disclosure.algomapublichealth.com/Portal/Facility/Details/069ff5fd-8f7e-4a68-83db-9c632a6297b8
