Facility Name,Site Address,Last Inspection Date,Facility Type,url_entity_partial,category,Community,Program Area,Closed Date,Reason,Reopen Date,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Little Caesars Pizza - Food Take Out,275 Second Line W  Sault Ste. Marie ON P6C 2J4,26-Feb-2024,Food Take Out,location.href = '/Portal/Facility/Details/0acba9cc-ac3c-4c0c-97ad-981396289019' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0acba9cc-ac3c-4c0c-97ad-981396289019
Little Caesars Pizza - Food Take Out,C2A-150 Churchill Blvd  Sault Ste. Marie ON P6A 3C9,15-Jan-2024,Food Take Out,location.href = '/Portal/Facility/Details/68356ac4-cb54-4933-8430-f5df72caab82' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/68356ac4-cb54-4933-8430-f5df72caab82
Little Rapids Ballpark Canteen - Food Take Out,34 Little Rapids Road  Little Rapids ON P0R 1L0,13-Jun-2023,Food Take Out,location.href = '/Portal/Facility/Details/f2d220d8-f406-4b28-b5ae-1ac50471be49' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f2d220d8-f406-4b28-b5ae-1ac50471be49
Little Rapids Community Centre - Community Kitchen,4 Little Rapids Road  Thessalon ON P0R 1L0,13-Jun-2023,Community Kitchen,location.href = '/Portal/Facility/Details/8b00b4bd-42a2-4a9a-af10-102bbd913016' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8b00b4bd-42a2-4a9a-af10-102bbd913016
Little Treasures Children's Centre - Serving Kitchen,160 Spruce Avenue  Elliot Lake ON P5A 2C5,02-Oct-2023,Serving Kitchen,location.href = '/Portal/Facility/Details/6f9d0df7-ce56-4050-8a8c-f77dbb8f16be' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6f9d0df7-ce56-4050-8a8c-f77dbb8f16be
Live in Treatment Home - Institutional Servery,631 Second Line W  Sault Ste. Marie ON P6C 2K3,12-Mar-2024,Institutional Servery,location.href = '/Portal/Facility/Details/0cebc592-ab97-4bd6-a398-b5b552782c8b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0cebc592-ab97-4bd6-a398-b5b552782c8b
Loch Island Lodge - Fly-in Camp,Wabatonguishi Lake  Glasgow Twp. ON,31-Aug-2022,Fly-in Camp,location.href = '/Portal/Facility/Details/66aa321d-2ba9-4794-a441-50d261bbc539' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/66aa321d-2ba9-4794-a441-50d261bbc539
Lock City Dairy - Food Warehouse / Depot,938 McNabb St  Sault Ste. Marie ON P6B 6J1,15-Jun-2023,Food Warehouse / Depot,location.href = '/Portal/Facility/Details/8ed00f8b-18cb-4b22-8708-f6ffc79fea88' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8ed00f8b-18cb-4b22-8708-f6ffc79fea88
Lodge Eighty Eight - Fly-in Camp,Mile 88 CP-Esnagi Lake  Pearks Twp ON,,Fly-in Camp,location.href = '/Portal/Facility/Details/97857d5e-de5e-45d8-ac4a-d01ea4a791f1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/97857d5e-de5e-45d8-ac4a-d01ea4a791f1
LOL!! Resto Bar - Restaurant,275 Chemin du Lac Dubreuilville  ON P0S 1B0,12-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/7c034bf0-cdf1-4a4e-8c76-cc5664a2617d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7c034bf0-cdf1-4a4e-8c76-cc5664a2617d
Loplops - Cocktail Bar,651 Queen St E  Sault Ste. Marie ON P6A 2A6,14-Dec-2023,Cocktail Bar,location.href = '/Portal/Facility/Details/936ec0a9-c83f-4d75-99c7-22963bd0beba' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/936ec0a9-c83f-4d75-99c7-22963bd0beba
Low & Slow Smoked Fusion BBQ - Restaurant,648 Queen St E  Sault Ste Marie ON P6A 2A4,27-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/d8fbc3f6-c563-4ba0-a024-c62bcda6bd17' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d8fbc3f6-c563-4ba0-a024-c62bcda6bd17
Low Barrier Men's Shelter - Serving Kitchen,721 Wellington St E  Sault Ste Marie ON P6A 2M8,22-Feb-2024,Serving Kitchen,location.href = '/Portal/Facility/Details/2c1605e2-e9e5-445a-9689-d05a0ad0e219' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/2c1605e2-e9e5-445a-9689-d05a0ad0e219
Loyal Order of Moose Hall - Banquet Hall,26 Oakland Boulevard  Elliot Lake ON P5A 2T1,23-Aug-2023,Banquet Hall,location.href = '/Portal/Facility/Details/4850d213-c68c-46a1-89b8-6033286b14eb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4850d213-c68c-46a1-89b8-6033286b14eb
Lucey Loo's Restaurant - Restaurant,3159 Hwy 17 B  Echo Bay ON P0S 1C0,18-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/88fc3552-6b50-4dca-945e-0f44e42bef56' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/88fc3552-6b50-4dca-945e-0f44e42bef56
Lucky Garden - Restaurant,25-Hawkins St  Blind River ON P0R 1B0,13-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/98d2dfd6-1c2f-4a96-8873-f55a64aa874e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/98d2dfd6-1c2f-4a96-8873-f55a64aa874e
Lucky's Snack Bar - Food Take Out,93 Front St  Spanish ON P0P 2A0,,Food Take Out,location.href = '/Portal/Facility/Details/6542e3d6-e1fc-4e45-8d2f-09cbaf8bec80' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6542e3d6-e1fc-4e45-8d2f-09cbaf8bec80
Lychee Thai Restaurant - Restaurant,280 Queen St E  Sault Ste. Marie ON,04-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/a5c7d4d6-9263-4a88-9612-4e62544aac19' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a5c7d4d6-9263-4a88-9612-4e62544aac19
Lyle's No Frills - Supermarket,177 Highway 108  Elliot Lake ON P5A 2S9,31-Aug-2023,Supermarket,location.href = '/Portal/Facility/Details/4f635263-9fc4-4200-9c53-450983cade0e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4f635263-9fc4-4200-9c53-450983cade0e
M&M Food Market - Supermarket,357 Trunk Rd  Sault Ste. Marie ON P6A 3S9,25-Mar-2024,Supermarket,location.href = '/Portal/Facility/Details/52acdb9e-a173-47ed-98c7-4e66b27d3486' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/52acdb9e-a173-47ed-98c7-4e66b27d3486
M&M Food Market Express - Supermarket,43 Broadway Ave  Wawa ON P0S 1K0,20-Oct-2023,Supermarket,location.href = '/Portal/Facility/Details/6bda4b43-4700-4001-ae2e-0a1b7da804b1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6bda4b43-4700-4001-ae2e-0a1b7da804b1
M&M Meat Shop - Supermarket,216 Second Line W  Sault Ste. Marie ON P6C 2J3,15-Nov-2023,Supermarket,location.href = '/Portal/Facility/Details/eae484c7-bf46-42c6-abb0-644941cba2d9' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/eae484c7-bf46-42c6-abb0-644941cba2d9
M&M Meat Shop - Supermarket,153 Great Northern Rd  Sault Ste. Marie ON P6B 4Y9,14-Jun-2023,Supermarket,location.href = '/Portal/Facility/Details/77531cff-15c1-4fe5-b2ef-afdd8f0b8eb9' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/77531cff-15c1-4fe5-b2ef-afdd8f0b8eb9
M&M Temporary Food Booth - Hot Dog Cart,153 Great Northern Rd  Sault Ste. Marie ON P6B 4Y9,21-Jul-2023,Hot Dog Cart,location.href = '/Portal/Facility/Details/477d0203-e1dc-45e2-b799-3937ebdda8fd' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/477d0203-e1dc-45e2-b799-3937ebdda8fd
Mad Jacks - Food Take Out,3112 Marks St  Hilton Beach ON P0R 1G0,29-Jun-2023,Food Take Out,location.href = '/Portal/Facility/Details/071577d8-e067-4e2e-b57f-0028f312f69c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/071577d8-e067-4e2e-b57f-0028f312f69c
Mamabear Lunches - Food Take Out,235 McNabb St  Sault Ste Marie ON P6B 1Y3,11-Sep-2023,Food Take Out,location.href = '/Portal/Facility/Details/ea5562d1-8ad3-4890-ae15-a95c50ccae02' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ea5562d1-8ad3-4890-ae15-a95c50ccae02
MamaCass Cheesecakes - Baked Goods - Retail,1068 Black Road  Sault Ste. Marie ON P6A 0C8,02-May-2024,Baked Goods - Retail,location.href = '/Portal/Facility/Details/f3beaf64-83dd-456e-b3a6-26affd1df5c5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f3beaf64-83dd-456e-b3a6-26affd1df5c5
Manchu Wok - Restaurant,2-332 Great Northern Road  Sault Ste. Marie ON P6B 4Z7,31-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/e291a56c-096c-4b97-aa30-f762ba564534' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e291a56c-096c-4b97-aa30-f762ba564534
Mane Street Salon and Spa Cafe - Food Take Out,1-626 Queen Street E  Sault Ste Marie ON P6A 2A4,30-Nov-2023,Food Take Out,location.href = '/Portal/Facility/Details/108f8819-57fe-4e66-9c62-b47c6bacd443' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/108f8819-57fe-4e66-9c62-b47c6bacd443
Maple Acres - Home Based Food Inspection,50 Eley Road  Iron Bridge ON P0R1H0,28-Nov-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/0576f8e0-4184-4457-965c-6636c1b0b1ff' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0576f8e0-4184-4457-965c-6636c1b0b1ff
Maple Restaurant - Restaurant,180 Ontario St  Elliot Lake ON P5A 1Y4,27-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/3d1d9654-a044-4203-aace-71bd82978e4a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3d1d9654-a044-4203-aace-71bd82978e4a
Mar Mac Lodge - Fly-in Camp,Mile 88 CP-Esnagi Lake  Tilston Twp. ON,,Fly-in Camp,location.href = '/Portal/Facility/Details/a421938f-ebee-45a6-bafe-6ced4757a6a5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a421938f-ebee-45a6-bafe-6ced4757a6a5
Marconi Society Restaurant - Restaurant,450 Albert Street W  Sault Ste. Marie ON P6A 1C3,25-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/52bf080a-beea-4c4d-b41c-5301e9d6b948' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/52bf080a-beea-4c4d-b41c-5301e9d6b948
Marek Hospitality Inc.- Sault Area Hospital (Cafeteria + Tim Hortons) - Cafeteria,750 Great Northern Rd  Sault Ste. Marie ON P6B 0A8,26-Apr-2024,Cafeteria,location.href = '/Portal/Facility/Details/23b939ca-ca4b-46f4-bc6f-04a2f659bff5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/23b939ca-ca4b-46f4-bc6f-04a2f659bff5
Marisa Marandola - Home Based Food Inspection,36 Prince Charles Crescent  Sault Ste Marie ON,,Home Based Food Inspection,location.href = '/Portal/Facility/Details/1f193138-7909-400c-bcf7-c7414f7dcd96' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1f193138-7909-400c-bcf7-c7414f7dcd96
Masonic Lodge - Community Kitchen,171 Spruce Ave  Elliot Lake ON P5A 2K6,10-Nov-2023,Community Kitchen,location.href = '/Portal/Facility/Details/5fb6359b-c454-45d2-8e75-ce82e975fb03' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/5fb6359b-c454-45d2-8e75-ce82e975fb03
McDonald's - Restaurant,371 Great Northern Rd  Sault Ste. Marie ON P6B 4Z8,20-Jan-2023,Restaurant,location.href = '/Portal/Facility/Details/cc946ffb-e9ed-44cf-b981-e79a0464b956' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/cc946ffb-e9ed-44cf-b981-e79a0464b956
McDonald's - Restaurant,Highway 108 N  Elliot Lake ON P5A 2J5,30-Jun-2023,Restaurant,location.href = '/Portal/Facility/Details/a0818c01-5b09-404f-b4e4-04259e81dbb7' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a0818c01-5b09-404f-b4e4-04259e81dbb7
McDonald's 40023 - Restaurant,673 Trunk Rd  Sault Ste. Marie ON P6A 3T1,18-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/f4d8ff79-3aa1-444b-8ce7-c8acb1b466b2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f4d8ff79-3aa1-444b-8ce7-c8acb1b466b2
McDonald's Walmart - Restaurant,446 Great Northern Rd  Sault Ste. Marie ON P6B 4Z9,20-Sep-2023,Restaurant,location.href = '/Portal/Facility/Details/39b5cb27-a2ca-46bb-b137-368b8b80a11f' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/39b5cb27-a2ca-46bb-b137-368b8b80a11f
