Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Chartwell St. Clair Beach Retirement Residence,13500 Riverside Dr E Tecumseh ON N8N 2M8,Retirement Home,08-Apr-2024,location.href = '/disclosure/Facility/Details/49580f19-4035-4599-93b8-60279f050f2f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/49580f19-4035-4599-93b8-60279f050f2f
Chat n Chai By Agashiye Inc.,1830 Wyandotte Street West Windsor N9B 1J3,Food Take Out,21-Dec-2023,location.href = '/disclosure/Facility/Details/2e75c5ff-ae1e-46f6-ba89-8eb7dc151a2c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2e75c5ff-ae1e-46f6-ba89-8eb7dc151a2c
Chateau Masson,415 University Ave E Windsor ON N9A 2Z3,Boarding/Lodging Home,13-Feb-2024,location.href = '/disclosure/Facility/Details/00ac3932-46cf-45a7-86a6-4f6cdf9c8568' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/00ac3932-46cf-45a7-86a6-4f6cdf9c8568
Chateau Park Nursing Home,2990 Riverside Dr W Windsor ON N9C 1A2,Long-Term Care Home,17-Jan-2024,location.href = '/disclosure/Facility/Details/89143802-cd27-4c07-b1a1-1c7031c4aec9' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/89143802-cd27-4c07-b1a1-1c7031c4aec9
Chatham Street Diner,39 Chatham St E Windsor ON N9A 2W2,Restaurant (Full Service),11-Mar-2024,location.href = '/disclosure/Facility/Details/c449762d-af2f-4df7-9aac-3e43df4f23a5' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c449762d-af2f-4df7-9aac-3e43df4f23a5
Chatime - University of Windsor,401 Sunset Avenue N9B 3P4,Food Take Out,16-Jan-2024,location.href = '/disclosure/Facility/Details/3fb4f8d1-2d64-486f-a7f4-28ea8c116539' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3fb4f8d1-2d64-486f-a7f4-28ea8c116539
Chatime Windsor,105-650 Division Rd Windsor ON N8X 5E7,Restaurant (Fast Food),15-Nov-2023,location.href = '/disclosure/Facility/Details/489666fa-20be-4c74-8a88-1ccda8177d0c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/489666fa-20be-4c74-8a88-1ccda8177d0c
Cheecho's Sandwich Shop,1430 Ottawa St Windsor ON N8X 2G2,Restaurant (Full Service),08-Feb-2024,location.href = '/disclosure/Facility/Details/4adda33e-37e3-4e62-aa73-92efcf3b9e99' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4adda33e-37e3-4e62-aa73-92efcf3b9e99
Cheese Wheelz,2950 Dougall Ave Windsor ON N9E 1S2,Food Take Out,23-Feb-2024,location.href = '/disclosure/Facility/Details/c58c4008-5a94-417f-bcbe-68a012746cba' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c58c4008-5a94-417f-bcbe-68a012746cba
Cheese Wheelz,1294 Lauzon Rd Windsor ON N8S 3N1,Restaurant (Fast Food),02-May-2024,location.href = '/disclosure/Facility/Details/e32c2e75-2b70-4234-ab73-6570910894df' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/e32c2e75-2b70-4234-ab73-6570910894df
Cheese Wheelz,564 Ouellette Ave Windsor ON N9A 1B7,Restaurant (Fast Food),14-Nov-2023,location.href = '/disclosure/Facility/Details/91a0ff4a-4a01-48f5-865a-0914c34803a8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/91a0ff4a-4a01-48f5-865a-0914c34803a8
Cheesecake Babes,1017 Watson Ave Windsor ON N8S 3T3,Bake Shop,20-Mar-2024,location.href = '/disclosure/Facility/Details/aa2dca26-1c67-4db6-a4c9-5cd5ab0f330e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/aa2dca26-1c67-4db6-a4c9-5cd5ab0f330e
Cheesecake on a Stick,13300 Tecumseh Road E Tecumseh ON,Mobile Food Premises,11-Aug-2023,location.href = '/disclosure/Facility/Details/32a65079-ab41-4f13-8106-8c244e1931ab' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/32a65079-ab41-4f13-8106-8c244e1931ab
Cheesecake on a Stick,118-13300 Tecumseh Rd E Tecumseh ON N8N 4R8,Food Take Out,12-Jan-2024,location.href = '/disclosure/Facility/Details/63928298-6533-4660-b4d3-a1a03fb3861f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/63928298-6533-4660-b4d3-a1a03fb3861f
Cheetah's On The River,86 Chatham St W Windsor ON N9A 5M6,Cocktail Bar/Beverage Room,07-Feb-2024,location.href = '/disclosure/Facility/Details/863ed9b6-3a9c-46ec-a965-a60b066b932b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/863ed9b6-3a9c-46ec-a965-a60b066b932b
Chef Don 3D Live Kitchen,218 Lauzon Rd Windsor ON N8S 3L6,Caterer,02-Feb-2024,location.href = '/disclosure/Facility/Details/d653df1a-235c-4fe1-aef1-572d91698481' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/d653df1a-235c-4fe1-aef1-572d91698481
Chef Joe Fine Foods & Catering,455 Marla Cres Emeryville ON N0R 1C0,Food Take Out,28-Dec-2023,location.href = '/disclosure/Facility/Details/56ee6520-d570-4239-ada7-8c596c73c7df' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/56ee6520-d570-4239-ada7-8c596c73c7df
Chef Zesty Kitchen,498 Pierre Ave Windsor ON N9A 2K2,Caterer,08-Feb-2024,location.href = '/disclosure/Facility/Details/2c45c3b9-bef6-4b94-be3d-6b3d421692c2' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2c45c3b9-bef6-4b94-be3d-6b3d421692c2
Chemsal Club,200 Morton Dr Windsor ON N9J 3W9,Banquet Facility,01-Feb-2024,location.href = '/disclosure/Facility/Details/653e1da2-9949-4550-b9bf-0a18838c8b2f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/653e1da2-9949-4550-b9bf-0a18838c8b2f
Cheung's Trading Co.,2030 Wyandotte St W Windsor ON N9B 1J7,Convenience/Variety Store,19-Jul-2023,location.href = '/disclosure/Facility/Details/e3640886-e9e1-438f-8650-5dfe76736ad9' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/e3640886-e9e1-438f-8650-5dfe76736ad9
Chick-fil-A,3060 Howard Ave Windsor ON N8X 3Y7,Restaurant (Full Service),25-Mar-2024,location.href = '/disclosure/Facility/Details/c873ac40-5b65-457f-83cb-b26fec45230b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c873ac40-5b65-457f-83cb-b26fec45230b
Chiki Shack,142 Talbot St E Leamington ON N8H 1M1,Food Take Out,01-Nov-2023,location.href = '/disclosure/Facility/Details/f554c5b8-3251-4052-b667-7fe814ce86cf' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f554c5b8-3251-4052-b667-7fe814ce86cf
Chill Out Frozen Treats,332 Road 6 W Cottam ON N0R 1B0,Mobile Food Premises,11-Aug-2023,location.href = '/disclosure/Facility/Details/efba99a6-87de-4028-9f34-6ee3bc3d16a0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/efba99a6-87de-4028-9f34-6ee3bc3d16a0
Chilly Bliss,1767 University Avenue West Windsor ON N9B 1C5,Restaurant (Full Service),19-Apr-2024,location.href = '/disclosure/Facility/Details/1960d7cf-4d7a-45a8-950b-4ef543a2a370' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1960d7cf-4d7a-45a8-950b-4ef543a2a370
China Kitchen Eatery,511 Cabana Rd E Windsor ON N9G 1A5,Restaurant (Full Service),25-Apr-2024,location.href = '/disclosure/Facility/Details/7d9b26c3-f200-4d97-9928-4e3bd17ee938' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7d9b26c3-f200-4d97-9928-4e3bd17ee938
China Village Cuisine,118 Talbot St E Leamington ON N8H 1L6,Restaurant (Full Service),28-Dec-2023,location.href = '/disclosure/Facility/Details/3cb7fef2-9c80-45fd-b44d-327feae4d9ef' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3cb7fef2-9c80-45fd-b44d-327feae4d9ef
Chochi's Pizza,91 Talbot St N Essex ON N8M 2C3,Food Take Out,17-Oct-2023,location.href = '/disclosure/Facility/Details/53506fb0-b49b-469c-bd61-d14ab721fc30' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/53506fb0-b49b-469c-bd61-d14ab721fc30
Chochi's Pizza,473 Notre Dame St Belle River ON N0R 1A0,Food Take Out,05-Feb-2024,location.href = '/disclosure/Facility/Details/90f84174-3088-4072-81d1-e5c47db0c54b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/90f84174-3088-4072-81d1-e5c47db0c54b
Chopstix,5-152 Lesperance Rd Tecumseh ON N9N 1W1,Restaurant (Full Service),,location.href = '/disclosure/Facility/Details/cda99375-0dd9-41e4-8cc9-2026f1887ecb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/cda99375-0dd9-41e4-8cc9-2026f1887ecb
Christine's Bake Shop,53 Talbot St E Leamington ON N8H 1L1,Bakery,23-Nov-2023,location.href = '/disclosure/Facility/Details/dba1e796-eb89-4933-b587-83af444f994e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/dba1e796-eb89-4933-b587-83af444f994e
Chry Moto,2330 McDougall St Windsor ON N8X 3N4,Cocktail Bar/Beverage Room,17-Oct-2023,location.href = '/disclosure/Facility/Details/1f99c8ff-1d9c-4b55-acd0-6e69854778f5' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1f99c8ff-1d9c-4b55-acd0-6e69854778f5
Chrysler Micro Market,2199 Chrysler Centre Windsor ON N8W 3Y3,Convenience/Variety Store,04-Dec-2023,location.href = '/disclosure/Facility/Details/b1545e64-a1ec-4161-9439-a9e24b803a95' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b1545e64-a1ec-4161-9439-a9e24b803a95
Chuck's Roadhouse,200-24 Seacliff Dr E Leamington ON N8H 0C2,Restaurant (Full Service),21-Feb-2024,location.href = '/disclosure/Facility/Details/ea129609-e11e-442c-978f-662bdfa43bac' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ea129609-e11e-442c-978f-662bdfa43bac
Chuck's Roadhouse,346 Talbot St N Essex ON N8M 2W4,Restaurant (Full Service),26-Apr-2024,location.href = '/disclosure/Facility/Details/34b82ead-af64-4242-834d-20c4c9b3f53b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/34b82ead-af64-4242-834d-20c4c9b3f53b
Chuck's Roadhouse Bar & Grill,6675 Tecumseh Rd E Windsor ON N8T 1E7,Restaurant (Full Service),15-Dec-2023,location.href = '/disclosure/Facility/Details/cf542912-dc55-4fec-b875-76d385035067' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/cf542912-dc55-4fec-b875-76d385035067
Chuck's Roadhouse Bar & Grill,5001 Legacy Park Dr Windsor ON N8W 5S6,Restaurant (Full Service),18-Oct-2023,location.href = '/disclosure/Facility/Details/fe8c4ba8-3eb9-4f73-8bd4-93c3cef778fd' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fe8c4ba8-3eb9-4f73-8bd4-93c3cef778fd
Chuckwagon Restaurant,32 Main St W Kingsville ON N9Y 1H3,Restaurant (Full Service),06-Dec-2023,location.href = '/disclosure/Facility/Details/53b63127-4c8b-4009-bd0e-e67944fe7dcd' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/53b63127-4c8b-4009-bd0e-e67944fe7dcd
Chungchun Rice Dog,6-4450 Walker Rd Windsor ON N8W 3T5,Restaurant (Fast Food),27-Dec-2023,location.href = '/disclosure/Facility/Details/787125a1-2fd5-411e-86fc-35fdbf122d93' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/787125a1-2fd5-411e-86fc-35fdbf122d93
Church's Texas Chicken,C-2790 Tecumseh Rd W Windsor ON N9B 3R1,Restaurant (Fast Food),08-Apr-2024,location.href = '/disclosure/Facility/Details/7666cba1-8ac0-469d-a565-7f9d088f3d4d' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7666cba1-8ac0-469d-a565-7f9d088f3d4d
Ciao Caffe,A-4974 Tecumseh Rd E Windsor ON N8T 1C1,Restaurant (Fast Food),03-Apr-2024,location.href = '/disclosure/Facility/Details/709462d7-740b-48ad-9233-8fdba12b81d3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/709462d7-740b-48ad-9233-8fdba12b81d3
Ciao Cucina Nuova,255-480 Advance Blvd Lakeshore ON N8N 5G8,Restaurant (Full Service),16-Nov-2023,location.href = '/disclosure/Facility/Details/6e3b1bd6-ce9c-45ff-8160-20e5e106ba01' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6e3b1bd6-ce9c-45ff-8160-20e5e106ba01
Cindy's Home Garden (Cindy's Too),585 Seacliff Dr Kingsville ON N9Y 2K6,Bakery,26-Apr-2024,location.href = '/disclosure/Facility/Details/189e0d39-cc45-448b-8422-7696af7228a8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/189e0d39-cc45-448b-8422-7696af7228a8
Cineplex Odeon - Outtakes,3100 Howard Ave Windsor ON N8X 3Y8,Restaurant (Fast Food),23-Jan-2024,location.href = '/disclosure/Facility/Details/14475068-7af3-4b78-8626-1a8f5f0f3957' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/14475068-7af3-4b78-8626-1a8f5f0f3957
Cineplex Odeon - Refreshment Stand,3100 Howard Ave Windsor ON N8X 3Y8,Refreshment Stand,23-Jan-2024,location.href = '/disclosure/Facility/Details/c71c56f9-8e7c-4cc5-9b6d-b9866a89d720' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c71c56f9-8e7c-4cc5-9b6d-b9866a89d720
Cinnabon,3100 Howard Ave Windsor ON N8X 3Y8,Bakery,21-Nov-2023,location.href = '/disclosure/Facility/Details/4816ead2-94cc-45be-b4fa-cb39aa3bee5a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4816ead2-94cc-45be-b4fa-cb39aa3bee5a
Ciociaro Club,3745 N Talbot Rd Oldcastle ON N0R 1L0,Banquet Facility,15-Jan-2024,location.href = '/disclosure/Facility/Details/da72ac48-49d1-4d39-9d4f-e2566696541b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/da72ac48-49d1-4d39-9d4f-e2566696541b
Ciociaro Club (Members Lounge),3745 North Talbot Rd Oldcastle ON N0R 1L0,Restaurant (Full Service),15-Jan-2024,location.href = '/disclosure/Facility/Details/8f40db81-10c7-48d6-9538-d643eb7518f2' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8f40db81-10c7-48d6-9538-d643eb7518f2
Circle K,2606 Jefferson Blvd Windsor ON N8T 3E7,Convenience/Variety Store,21-Feb-2024,location.href = '/disclosure/Facility/Details/adca1849-5bdf-44ce-a0d3-d49d223fce8e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/adca1849-5bdf-44ce-a0d3-d49d223fce8e
Circle K,14301 Tecumseh Road East Tecumseh ON N8N 1M9,Convenience/Variety Store,28-Feb-2024,location.href = '/disclosure/Facility/Details/00ccca41-3a47-46ff-a834-d56a966b3c32' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/00ccca41-3a47-46ff-a834-d56a966b3c32
Circle K,4675 Seminole St Windsor ON N8Y 1Z9,Convenience/Variety Store,27-Mar-2024,location.href = '/disclosure/Facility/Details/a736f59c-492e-4fbc-b798-e1da01420ce5' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/a736f59c-492e-4fbc-b798-e1da01420ce5
Circle K,1093 Lauzon Rd Windsor ON N8S 3M8,Convenience/Variety Store,02-Feb-2024,location.href = '/disclosure/Facility/Details/efdd9a55-87b4-4df9-bf99-e4122e113517' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/efdd9a55-87b4-4df9-bf99-e4122e113517
Circle K,390 Mill St Windsor ON N9C 2R4,Food Take Out,29-Jan-2024,location.href = '/disclosure/Facility/Details/62e6e8e7-94d2-4c6b-b63a-dc92d2723705' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/62e6e8e7-94d2-4c6b-b63a-dc92d2723705
Circle K,626 Notre Dame St Belle River ON N0R 1A0,Convenience/Variety Store,05-Jan-2024,location.href = '/disclosure/Facility/Details/98f4351e-602d-4ef5-b1c7-eeb9e24b45ed' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/98f4351e-602d-4ef5-b1c7-eeb9e24b45ed
Circle K,7887 Tecumseh Rd E Windsor ON N8T 1G3,Convenience/Variety Store,26-Feb-2024,location.href = '/disclosure/Facility/Details/8f174707-3f74-425e-84cc-f071f608e88c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8f174707-3f74-425e-84cc-f071f608e88c
Circle K,1304 Grand Marais Rd W Windsor ON N9E 1E4,Convenience/Variety Store,05-Feb-2024,location.href = '/disclosure/Facility/Details/6a2cab7e-d779-4147-9a21-b989f716b986' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6a2cab7e-d779-4147-9a21-b989f716b986
Circle K,5854 Malden Rd LaSalle ON N9H 1S4,Convenience/Variety Store,04-Jan-2024,location.href = '/disclosure/Facility/Details/eaf96359-db8d-475f-b86a-b7931f30567e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/eaf96359-db8d-475f-b86a-b7931f30567e
Circle K,991 Ouellette Ave Windsor ON N9A 4J5,Convenience/Variety Store,09-Apr-2024,location.href = '/disclosure/Facility/Details/ae5ac1b8-3e25-4072-850d-a1abf9ed0c47' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ae5ac1b8-3e25-4072-850d-a1abf9ed0c47
Circle K,12270 Tecumseh Rd E Tecumseh ON N8N 1L3,Food Take Out,15-Jan-2024,location.href = '/disclosure/Facility/Details/03e6f2f4-da68-4e25-b07c-73eb7397b722' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/03e6f2f4-da68-4e25-b07c-73eb7397b722
Circle K,1675 Tecumseh Rd E Windsor ON N8W 1C6,Convenience/Variety Store,15-Feb-2023,location.href = '/disclosure/Facility/Details/f25aea98-e3ae-4a72-8c4a-79dfdfe41919' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f25aea98-e3ae-4a72-8c4a-79dfdfe41919
Circle K,12317 Riverside Dr E Tecumseh ON N8N 1A4,Convenience/Variety Store,08-Jan-2024,location.href = '/disclosure/Facility/Details/73ca6742-677f-4b61-b44c-6f80b6818154' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/73ca6742-677f-4b61-b44c-6f80b6818154
Circle K,7945 Wyandotte St E Windsor ON N8S 1T1,Convenience/Variety Store,05-Jan-2023,location.href = '/disclosure/Facility/Details/3dce564c-dacd-49f4-b5e0-938d666c93b9' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3dce564c-dacd-49f4-b5e0-938d666c93b9
Circle K,751 Front Rd LaSalle ON N9J 1Z9,Convenience/Variety Store,09-Feb-2024,location.href = '/disclosure/Facility/Details/873819d9-7126-46af-84d7-81f7b283c1b6' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/873819d9-7126-46af-84d7-81f7b283c1b6
Circle K,9 Sandwich St N Amherstburg ON N9C 2T8,Food Take Out,12-Feb-2024,location.href = '/disclosure/Facility/Details/920c5669-8a89-4c72-9964-831f8e650c10' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/920c5669-8a89-4c72-9964-831f8e650c10
Circle K,2055 Sandwich W Pkwy LaSalle ON N9H 2S4,Convenience/Variety Store,03-Jan-2024,location.href = '/disclosure/Facility/Details/732c13a4-e477-4241-980d-1fd17f954b0e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/732c13a4-e477-4241-980d-1fd17f954b0e
Circle K,2730 Howard Ave Windsor ON N8X 3X6,Convenience/Variety Store,28-Mar-2024,location.href = '/disclosure/Facility/Details/82bc26c6-732f-44ba-ba2a-23d3441e7c58' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/82bc26c6-732f-44ba-ba2a-23d3441e7c58
Circle K,3139 Forest Glade Dr Windsor ON N8R 1W6,Convenience/Variety Store,08-Feb-2023,location.href = '/disclosure/Facility/Details/2ce5d3ca-cdaa-4028-af79-29f9b14f3f99' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2ce5d3ca-cdaa-4028-af79-29f9b14f3f99
Circle K,1320 Walker Rd Windsor ON N8Y 4T9,Convenience/Variety Store,12-Mar-2024,location.href = '/disclosure/Facility/Details/f8147ebe-cbb7-4b0d-aa2c-0b03abad7f5f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f8147ebe-cbb7-4b0d-aa2c-0b03abad7f5f
Circle K,891 Campbell Ave Windsor ON N9B 2H8,Food Take Out,03-Feb-2023,location.href = '/disclosure/Facility/Details/2b5ab897-01e8-4fcb-afcf-07f98092019b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2b5ab897-01e8-4fcb-afcf-07f98092019b
Circle K,2675 Lauzon Rd Windsor ON N8T 2Z5,Convenience/Variety Store,08-Feb-2023,location.href = '/disclosure/Facility/Details/56897e4b-312c-4be7-bac9-0065f6ac896c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/56897e4b-312c-4be7-bac9-0065f6ac896c
Circle K,2 Seacliff Dr W Leamington ON N8H 2L4,Convenience/Variety Store,09-Apr-2024,location.href = '/disclosure/Facility/Details/8ee80d29-6269-4cfd-af6e-33c0de5a21dd' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8ee80d29-6269-4cfd-af6e-33c0de5a21dd
Circle K,1568 Seacliff Dr Kingsville ON N9Y 2M2,Convenience/Variety Store,08-Jan-2024,location.href = '/disclosure/Facility/Details/4d091fe3-e16c-48d3-bed5-5c5d9875a4bd' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4d091fe3-e16c-48d3-bed5-5c5d9875a4bd
Circle K,196 Talbot St N Essex ON N8M 2C8,Convenience/Variety Store,08-Apr-2024,location.href = '/disclosure/Facility/Details/3db6d616-fc07-474e-88b5-64aa13c0ef66' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3db6d616-fc07-474e-88b5-64aa13c0ef66
City Cafe,400 City Hall Square E Windsor ON N9A 7K6,Cafeteria,14-Dec-2023,location.href = '/disclosure/Facility/Details/3165069c-ff16-4a70-ab0c-f6474576ec72' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3165069c-ff16-4a70-ab0c-f6474576ec72
City Convenience,5440 Wyandotte Street E Windsor ON N8S 1L9,Convenience/Variety Store,01-Mar-2024,location.href = '/disclosure/Facility/Details/eb4781eb-01ab-443c-a660-443bdf76cb47' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/eb4781eb-01ab-443c-a660-443bdf76cb47
City South Pizza,190-13300 Tecumseh East Tecumseh ON N8N 0R8,Food Take Out,,location.href = '/disclosure/Facility/Details/9df836c5-f3aa-40e3-94c0-0f6f777ca8d2' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/9df836c5-f3aa-40e3-94c0-0f6f777ca8d2
Clancy's Variety,2646 Seminole St Windsor ON N8Y 1X7,Convenience/Variety Store,23-Jan-2024,location.href = '/disclosure/Facility/Details/5151ee71-b8bf-40dc-b3dd-8dd66e818013' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5151ee71-b8bf-40dc-b3dd-8dd66e818013
Clandestino,19 Erie St N Leamington ON N8H 2Z2,Cocktail Bar/Beverage Room,17-Nov-2023,location.href = '/disclosure/Facility/Details/44f312bf-7913-4ec0-83bd-06a349e31c76' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/44f312bf-7913-4ec0-83bd-06a349e31c76
Classico Grill,7880 Wyandotte St E Windsor ON N8S 1S9,Restaurant (Full Service),21-Feb-2024,location.href = '/disclosure/Facility/Details/7a3b6669-b198-45aa-8147-bc7a77ece254' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7a3b6669-b198-45aa-8147-bc7a77ece254
Club IL Cavallino,9420 Tecumseh Rd E Windsor ON N8R 1A2,Restaurant (Full Service),14-Dec-2023,location.href = '/disclosure/Facility/Details/b4587328-1f79-4805-8640-775880cf1662' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b4587328-1f79-4805-8640-775880cf1662
Co Ma Boys Catering,255 Patillo Rd Lakeshore ON N8N 2L9,Cafeteria,23-Apr-2024,location.href = '/disclosure/Facility/Details/4e33351a-f2ec-4e82-b59b-a632d711428a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4e33351a-f2ec-4e82-b59b-a632d711428a
Coachwood Golf & Country Club,7525 Howard Ave Amherstburg ON N0R 1J0,Restaurant (Full Service),30-Apr-2024,location.href = '/disclosure/Facility/Details/31f4355c-fbf1-4d74-8a03-8840c467b8e5' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/31f4355c-fbf1-4d74-8a03-8840c467b8e5
Coachwood Pro Shop,7525 Howard Ave Amherstburg ON N0R 1J0,Refreshment Stand,30-Oct-2023,location.href = '/disclosure/Facility/Details/7de11416-46be-4fad-b9a3-9749a54dd221' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7de11416-46be-4fad-b9a3-9749a54dd221
Co-An Park,11071 11th Concession Rd Essex ON N0R 1J0,Refreshment Stand,01-Jun-2022,location.href = '/disclosure/Facility/Details/d8bd805b-18f5-4f28-a1a8-f6ee9eaf30cc' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/d8bd805b-18f5-4f28-a1a8-f6ee9eaf30cc
Cobs Bread Union Square,111-650 Division Rd Windsor ON,Bakery,02-Apr-2024,location.href = '/disclosure/Facility/Details/88a8b8d1-b966-4f7b-8108-f4b12bade8f8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/88a8b8d1-b966-4f7b-8108-f4b12bade8f8
