Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
07/20/2022,Required,location.href = '/Portal/Inspection/Details/d155cba5-72ac-4846-b6ee-3e9234c484e8' ,https://healthinspect.ca/Portal/Inspection/Details/d155cba5-72ac-4846-b6ee-3e9234c484e8,https://healthinspect.ca/Portal/Facility/Details/bf936b2c-ce45-419d-85d5-1d000aed6113
07/06/2023,Follow-up,location.href = '/Portal/Inspection/Details/de66b72e-7438-481b-a0e2-3a1a47a2d5d0' ,https://healthinspect.ca/Portal/Inspection/Details/de66b72e-7438-481b-a0e2-3a1a47a2d5d0,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
06/22/2023,Required,location.href = '/Portal/Inspection/Details/824cdc3a-5a3e-4a1a-871b-6dae15fe4468' ,https://healthinspect.ca/Portal/Inspection/Details/824cdc3a-5a3e-4a1a-871b-6dae15fe4468,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
03/15/2023,Required,location.href = '/Portal/Inspection/Details/e85c0b59-a6c4-44bd-bac7-c5e95f0433ee' ,https://healthinspect.ca/Portal/Inspection/Details/e85c0b59-a6c4-44bd-bac7-c5e95f0433ee,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
12/14/2022,Required,location.href = '/Portal/Inspection/Details/1f4d4822-383e-453a-9bc4-63c01aa13c34' ,https://healthinspect.ca/Portal/Inspection/Details/1f4d4822-383e-453a-9bc4-63c01aa13c34,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
08/17/2022,Follow-up,location.href = '/Portal/Inspection/Details/5b594e8a-6731-45aa-a07d-31f5bb925ab8' ,https://healthinspect.ca/Portal/Inspection/Details/5b594e8a-6731-45aa-a07d-31f5bb925ab8,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
08/10/2022,Required,location.href = '/Portal/Inspection/Details/1b822286-cf94-4189-a1b4-2c547caaffdd' ,https://healthinspect.ca/Portal/Inspection/Details/1b822286-cf94-4189-a1b4-2c547caaffdd,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
04/27/2022,Required,location.href = '/Portal/Inspection/Details/1ba10b36-1dc5-4d6e-87ab-b94b9383416f' ,https://healthinspect.ca/Portal/Inspection/Details/1ba10b36-1dc5-4d6e-87ab-b94b9383416f,https://healthinspect.ca/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c
09/26/2023,Required,location.href = '/Portal/Inspection/Details/88f31fe7-feb9-48eb-a3fc-f804c8fb5804' ,https://healthinspect.ca/Portal/Inspection/Details/88f31fe7-feb9-48eb-a3fc-f804c8fb5804,https://healthinspect.ca/Portal/Facility/Details/2d15c687-e49e-46bc-b6d8-f502fd04706d
05/11/2022,Required,location.href = '/Portal/Inspection/Details/74c50c0b-6fe3-471f-83cb-9137c2225c72' ,https://healthinspect.ca/Portal/Inspection/Details/74c50c0b-6fe3-471f-83cb-9137c2225c72,https://healthinspect.ca/Portal/Facility/Details/2d15c687-e49e-46bc-b6d8-f502fd04706d
05/01/2023,Required,location.href = '/Portal/Inspection/Details/39300579-cf20-42ab-aee8-6609bdd5fd3b' ,https://healthinspect.ca/Portal/Inspection/Details/39300579-cf20-42ab-aee8-6609bdd5fd3b,https://healthinspect.ca/Portal/Facility/Details/8d84f2a9-9351-4cc5-9468-bd2e1014f108
10/12/2023,Required,location.href = '/Portal/Inspection/Details/d4f42499-6a85-4992-9be6-a7e8992e9b7d' ,https://healthinspect.ca/Portal/Inspection/Details/d4f42499-6a85-4992-9be6-a7e8992e9b7d,https://healthinspect.ca/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8
05/02/2023,Required,location.href = '/Portal/Inspection/Details/ed82a235-4e43-4bc5-81cc-5b22d4535f32' ,https://healthinspect.ca/Portal/Inspection/Details/ed82a235-4e43-4bc5-81cc-5b22d4535f32,https://healthinspect.ca/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8
12/01/2022,Follow-up,location.href = '/Portal/Inspection/Details/71bc8bd9-43c1-4889-a30f-5ddcb75d4f0a' ,https://healthinspect.ca/Portal/Inspection/Details/71bc8bd9-43c1-4889-a30f-5ddcb75d4f0a,https://healthinspect.ca/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8
11/24/2022,Required,location.href = '/Portal/Inspection/Details/de35eeed-9dd9-477b-b4da-8031693bb8db' ,https://healthinspect.ca/Portal/Inspection/Details/de35eeed-9dd9-477b-b4da-8031693bb8db,https://healthinspect.ca/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8
05/10/2022,Required,location.href = '/Portal/Inspection/Details/9cc4f6fa-2783-4053-90e7-b313e4265f6d' ,https://healthinspect.ca/Portal/Inspection/Details/9cc4f6fa-2783-4053-90e7-b313e4265f6d,https://healthinspect.ca/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8
05/10/2023,Required,location.href = '/Portal/Inspection/Details/53a0b9aa-07f8-4ca8-b93c-31cb597202bf' ,https://healthinspect.ca/Portal/Inspection/Details/53a0b9aa-07f8-4ca8-b93c-31cb597202bf,https://healthinspect.ca/Portal/Facility/Details/39870f6c-d9c9-4ea3-9fd6-d7106cef1563
09/06/2022,Follow-up,location.href = '/Portal/Inspection/Details/7ee9e17b-7ba2-4520-af44-34806435f89f' ,https://healthinspect.ca/Portal/Inspection/Details/7ee9e17b-7ba2-4520-af44-34806435f89f,https://healthinspect.ca/Portal/Facility/Details/39870f6c-d9c9-4ea3-9fd6-d7106cef1563
08/26/2022,Required,location.href = '/Portal/Inspection/Details/13565cfe-263e-448e-9242-c22527e336b4' ,https://healthinspect.ca/Portal/Inspection/Details/13565cfe-263e-448e-9242-c22527e336b4,https://healthinspect.ca/Portal/Facility/Details/39870f6c-d9c9-4ea3-9fd6-d7106cef1563
04/13/2022,Required,location.href = '/Portal/Inspection/Details/c5c6a454-133b-4be4-bac0-8a15c18d2a3b' ,https://healthinspect.ca/Portal/Inspection/Details/c5c6a454-133b-4be4-bac0-8a15c18d2a3b,https://healthinspect.ca/Portal/Facility/Details/39870f6c-d9c9-4ea3-9fd6-d7106cef1563
10/11/2023,Follow-up,location.href = '/Portal/Inspection/Details/7f06103c-7664-40ed-80aa-3cf720425b76' ,https://healthinspect.ca/Portal/Inspection/Details/7f06103c-7664-40ed-80aa-3cf720425b76,https://healthinspect.ca/Portal/Facility/Details/9a4b03a6-9281-4c56-8465-cda53713c4b8
09/25/2023,Required,location.href = '/Portal/Inspection/Details/81494fcb-3449-4c29-b85e-4271210fdef7' ,https://healthinspect.ca/Portal/Inspection/Details/81494fcb-3449-4c29-b85e-4271210fdef7,https://healthinspect.ca/Portal/Facility/Details/9a4b03a6-9281-4c56-8465-cda53713c4b8
09/19/2022,Required,location.href = '/Portal/Inspection/Details/874eb684-3a98-4986-b4e3-fd9e23b0ccd0' ,https://healthinspect.ca/Portal/Inspection/Details/874eb684-3a98-4986-b4e3-fd9e23b0ccd0,https://healthinspect.ca/Portal/Facility/Details/9a4b03a6-9281-4c56-8465-cda53713c4b8
04/28/2023,Required,location.href = '/Portal/Inspection/Details/c23e132d-4828-4e14-94cb-feefb3c18040' ,https://healthinspect.ca/Portal/Inspection/Details/c23e132d-4828-4e14-94cb-feefb3c18040,https://healthinspect.ca/Portal/Facility/Details/db49d2cc-b371-4af0-a9c5-f63a28bd04dd
08/30/2022,Required,location.href = '/Portal/Inspection/Details/d8db75a6-1592-493b-82e6-4e524b70bef6' ,https://healthinspect.ca/Portal/Inspection/Details/d8db75a6-1592-493b-82e6-4e524b70bef6,https://healthinspect.ca/Portal/Facility/Details/db49d2cc-b371-4af0-a9c5-f63a28bd04dd
10/17/2023,Required,location.href = '/Portal/Inspection/Details/c282fc1b-09be-4c37-a1fd-4f43f9305f51' ,https://healthinspect.ca/Portal/Inspection/Details/c282fc1b-09be-4c37-a1fd-4f43f9305f51,https://healthinspect.ca/Portal/Facility/Details/ecd53b6d-35a9-4853-b44d-36e8e7e4837c
03/03/2023,Required,location.href = '/Portal/Inspection/Details/90f3960b-ea85-4982-bd08-5e6f222c3baa' ,https://healthinspect.ca/Portal/Inspection/Details/90f3960b-ea85-4982-bd08-5e6f222c3baa,https://healthinspect.ca/Portal/Facility/Details/ecd53b6d-35a9-4853-b44d-36e8e7e4837c
12/12/2022,Required,location.href = '/Portal/Inspection/Details/5bf8a11f-7628-474e-8694-02d88afea02b' ,https://healthinspect.ca/Portal/Inspection/Details/5bf8a11f-7628-474e-8694-02d88afea02b,https://healthinspect.ca/Portal/Facility/Details/ecd53b6d-35a9-4853-b44d-36e8e7e4837c
12/19/2022,Required,location.href = '/Portal/Inspection/Details/7a53a65d-9b38-4d88-a254-c2978bbfb3cb' ,https://healthinspect.ca/Portal/Inspection/Details/7a53a65d-9b38-4d88-a254-c2978bbfb3cb,https://healthinspect.ca/Portal/Facility/Details/f0b197e6-fe68-42e2-839f-cdb3640da579
03/23/2022,Required,location.href = '/Portal/Inspection/Details/d2f2d733-a12e-4e83-99ee-6369b8ce1f45' ,https://healthinspect.ca/Portal/Inspection/Details/d2f2d733-a12e-4e83-99ee-6369b8ce1f45,https://healthinspect.ca/Portal/Facility/Details/f0b197e6-fe68-42e2-839f-cdb3640da579
05/18/2023,Required,location.href = '/Portal/Inspection/Details/02729f66-ed68-49e7-a5dd-4e2ca25250d6' ,https://healthinspect.ca/Portal/Inspection/Details/02729f66-ed68-49e7-a5dd-4e2ca25250d6,https://healthinspect.ca/Portal/Facility/Details/b3fa1ced-5f70-465e-9a25-376a399ca4bd
05/18/2023,Required,location.href = '/Portal/Inspection/Details/30e4cf42-0c30-47cc-b400-05e8fe68c318' ,https://healthinspect.ca/Portal/Inspection/Details/30e4cf42-0c30-47cc-b400-05e8fe68c318,https://healthinspect.ca/Portal/Facility/Details/9d538d7d-9459-4c83-aac8-382baf910b2f
10/04/2022,Required,location.href = '/Portal/Inspection/Details/cd5799b2-9391-435c-9a13-66206d1b87d2' ,https://healthinspect.ca/Portal/Inspection/Details/cd5799b2-9391-435c-9a13-66206d1b87d2,https://healthinspect.ca/Portal/Facility/Details/9d538d7d-9459-4c83-aac8-382baf910b2f
03/21/2023,Required,location.href = '/Portal/Inspection/Details/6e761c4c-81e7-4ac3-b9b8-204be0ef1ede' ,https://healthinspect.ca/Portal/Inspection/Details/6e761c4c-81e7-4ac3-b9b8-204be0ef1ede,https://healthinspect.ca/Portal/Facility/Details/e1e2ccc2-0f50-4d46-b418-f3b585448e63
04/28/2023,Required,location.href = '/Portal/Inspection/Details/d6fd8c55-230f-4e33-a278-24efd711fc7d' ,https://healthinspect.ca/Portal/Inspection/Details/d6fd8c55-230f-4e33-a278-24efd711fc7d,https://healthinspect.ca/Portal/Facility/Details/34a15120-b617-4d37-a557-4507bbb9e727
02/11/2022,Required,location.href = '/Portal/Inspection/Details/e12df176-b253-4a78-923f-217e2a2e0f35' ,https://healthinspect.ca/Portal/Inspection/Details/e12df176-b253-4a78-923f-217e2a2e0f35,https://healthinspect.ca/Portal/Facility/Details/34a15120-b617-4d37-a557-4507bbb9e727
02/12/2019,Required,location.href = '/Portal/Inspection/Details/0c3c5cc6-8fd2-43ee-ac29-b4e4c71fd633' ,https://healthinspect.ca/Portal/Inspection/Details/0c3c5cc6-8fd2-43ee-ac29-b4e4c71fd633,https://healthinspect.ca/Portal/Facility/Details/4a518815-fd9b-4de1-b5e5-28c9e6a2b4e1
02/12/2019,Required,location.href = '/Portal/Inspection/Details/3d753fa7-6880-4f28-aa4b-fb7839d546e5' ,https://healthinspect.ca/Portal/Inspection/Details/3d753fa7-6880-4f28-aa4b-fb7839d546e5,https://healthinspect.ca/Portal/Facility/Details/4a518815-fd9b-4de1-b5e5-28c9e6a2b4e1
07/26/2023,Required,location.href = '/Portal/Inspection/Details/dcec65e8-c0e8-441a-a423-c5be5d96ae1c' ,https://healthinspect.ca/Portal/Inspection/Details/dcec65e8-c0e8-441a-a423-c5be5d96ae1c,https://healthinspect.ca/Portal/Facility/Details/30e5af1e-7be9-4aab-abb8-73d0e68fc511
03/22/2023,Required,location.href = '/Portal/Inspection/Details/df3c6105-4fde-431e-b2da-6143e0ff7b90' ,https://healthinspect.ca/Portal/Inspection/Details/df3c6105-4fde-431e-b2da-6143e0ff7b90,https://healthinspect.ca/Portal/Facility/Details/30e5af1e-7be9-4aab-abb8-73d0e68fc511
09/22/2022,Required,location.href = '/Portal/Inspection/Details/aefc5b2b-2739-494b-b895-541d151ae283' ,https://healthinspect.ca/Portal/Inspection/Details/aefc5b2b-2739-494b-b895-541d151ae283,https://healthinspect.ca/Portal/Facility/Details/30e5af1e-7be9-4aab-abb8-73d0e68fc511
03/22/2022,Required,location.href = '/Portal/Inspection/Details/63c9773f-103b-4301-a7a2-34095d8b42d1' ,https://healthinspect.ca/Portal/Inspection/Details/63c9773f-103b-4301-a7a2-34095d8b42d1,https://healthinspect.ca/Portal/Facility/Details/30e5af1e-7be9-4aab-abb8-73d0e68fc511
10/16/2023,Required,location.href = '/Portal/Inspection/Details/a39c27d2-f383-4faf-807c-27462a286f63' ,https://healthinspect.ca/Portal/Inspection/Details/a39c27d2-f383-4faf-807c-27462a286f63,https://healthinspect.ca/Portal/Facility/Details/4ab146ae-9ddc-4d24-9327-5ba846b0c354
12/16/2022,Required,location.href = '/Portal/Inspection/Details/718f03a8-f8b9-412c-bcc4-24a8b4dfb3cd' ,https://healthinspect.ca/Portal/Inspection/Details/718f03a8-f8b9-412c-bcc4-24a8b4dfb3cd,https://healthinspect.ca/Portal/Facility/Details/4ab146ae-9ddc-4d24-9327-5ba846b0c354
03/21/2022,Required,location.href = '/Portal/Inspection/Details/85e33001-d704-4636-9fa0-77f833c93b40' ,https://healthinspect.ca/Portal/Inspection/Details/85e33001-d704-4636-9fa0-77f833c93b40,https://healthinspect.ca/Portal/Facility/Details/4ab146ae-9ddc-4d24-9327-5ba846b0c354
12/07/2022,Required,location.href = '/Portal/Inspection/Details/3690c2b2-9a0c-4073-9ca2-5f84dd81b550' ,https://healthinspect.ca/Portal/Inspection/Details/3690c2b2-9a0c-4073-9ca2-5f84dd81b550,https://healthinspect.ca/Portal/Facility/Details/d0790dda-30bd-49d9-91d2-ca20f376334e
12/06/2022,Required,location.href = '/Portal/Inspection/Details/24aff799-4945-4a4b-aaa9-03a8b739ef39' ,https://healthinspect.ca/Portal/Inspection/Details/24aff799-4945-4a4b-aaa9-03a8b739ef39,https://healthinspect.ca/Portal/Facility/Details/55ebc1b9-c89e-42e9-9e80-f2015935aa5f
07/20/2023,Required,location.href = '/Portal/Inspection/Details/b7e18679-919a-4b41-ba3f-f88c83e5310c' ,https://healthinspect.ca/Portal/Inspection/Details/b7e18679-919a-4b41-ba3f-f88c83e5310c,https://healthinspect.ca/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58
04/14/2023,Required,location.href = '/Portal/Inspection/Details/2529892f-bc27-48ae-8e6f-d4834cdad35b' ,https://healthinspect.ca/Portal/Inspection/Details/2529892f-bc27-48ae-8e6f-d4834cdad35b,https://healthinspect.ca/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58
08/25/2022,Required,location.href = '/Portal/Inspection/Details/b9a9a3c2-a328-4f7c-a40f-53b8e30c32ea' ,https://healthinspect.ca/Portal/Inspection/Details/b9a9a3c2-a328-4f7c-a40f-53b8e30c32ea,https://healthinspect.ca/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58
04/20/2022,Required,location.href = '/Portal/Inspection/Details/73068cff-dd98-4c24-ae3e-86da8bc0a4dd' ,https://healthinspect.ca/Portal/Inspection/Details/73068cff-dd98-4c24-ae3e-86da8bc0a4dd,https://healthinspect.ca/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58
12/02/2021,Required,location.href = '/Portal/Inspection/Details/730f416e-d1b7-490a-90b3-4595aac57cb5' ,https://healthinspect.ca/Portal/Inspection/Details/730f416e-d1b7-490a-90b3-4595aac57cb5,https://healthinspect.ca/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58
10/25/2023,Required,location.href = '/Portal/Inspection/Details/c0281ea7-9702-4b9d-83aa-3acf9330ad65' ,https://healthinspect.ca/Portal/Inspection/Details/c0281ea7-9702-4b9d-83aa-3acf9330ad65,https://healthinspect.ca/Portal/Facility/Details/93d7bbc1-9d7d-4d39-9c61-583c4ce0ea92
11/02/2022,Required,location.href = '/Portal/Inspection/Details/65750a0b-4292-426d-9564-79639e1b5eb7' ,https://healthinspect.ca/Portal/Inspection/Details/65750a0b-4292-426d-9564-79639e1b5eb7,https://healthinspect.ca/Portal/Facility/Details/93d7bbc1-9d7d-4d39-9c61-583c4ce0ea92
10/25/2023,Required,location.href = '/Portal/Inspection/Details/4af9d41c-e430-4389-a66e-3b736c111722' ,https://healthinspect.ca/Portal/Inspection/Details/4af9d41c-e430-4389-a66e-3b736c111722,https://healthinspect.ca/Portal/Facility/Details/a677f32a-6107-4f8e-8eae-4f9b695b27c2
11/02/2022,Required,location.href = '/Portal/Inspection/Details/f70bc151-206d-4ca7-9e79-f8393b238d85' ,https://healthinspect.ca/Portal/Inspection/Details/f70bc151-206d-4ca7-9e79-f8393b238d85,https://healthinspect.ca/Portal/Facility/Details/a677f32a-6107-4f8e-8eae-4f9b695b27c2
08/17/2023,Required,location.href = '/Portal/Inspection/Details/bb0f0edb-fd43-48ec-9ac8-1a719368778f' ,https://healthinspect.ca/Portal/Inspection/Details/bb0f0edb-fd43-48ec-9ac8-1a719368778f,https://healthinspect.ca/Portal/Facility/Details/91e10e1b-e9ca-413c-8bbe-9d8387a8d0f6
09/13/2022,Required,location.href = '/Portal/Inspection/Details/35ae0984-83db-4b5d-ac10-3d599b28b6b7' ,https://healthinspect.ca/Portal/Inspection/Details/35ae0984-83db-4b5d-ac10-3d599b28b6b7,https://healthinspect.ca/Portal/Facility/Details/91e10e1b-e9ca-413c-8bbe-9d8387a8d0f6
09/11/2023,Required,location.href = '/Portal/Inspection/Details/a93c75e9-5246-41ba-bdb8-8ffecf2ea63d' ,https://healthinspect.ca/Portal/Inspection/Details/a93c75e9-5246-41ba-bdb8-8ffecf2ea63d,https://healthinspect.ca/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8
05/02/2023,Follow-up,location.href = '/Portal/Inspection/Details/d25b6b9a-439a-43c1-9d58-a1e7cd5b266b' ,https://healthinspect.ca/Portal/Inspection/Details/d25b6b9a-439a-43c1-9d58-a1e7cd5b266b,https://healthinspect.ca/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8
03/27/2023,Required,location.href = '/Portal/Inspection/Details/8bd8d975-20cf-4399-86c1-0b2d8473d97f' ,https://healthinspect.ca/Portal/Inspection/Details/8bd8d975-20cf-4399-86c1-0b2d8473d97f,https://healthinspect.ca/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8
10/05/2022,Required,location.href = '/Portal/Inspection/Details/8dfb9b30-61e6-4703-bb13-4cdb757d2f3a' ,https://healthinspect.ca/Portal/Inspection/Details/8dfb9b30-61e6-4703-bb13-4cdb757d2f3a,https://healthinspect.ca/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8
05/09/2022,Required,location.href = '/Portal/Inspection/Details/1184d35d-eb92-44ae-bfec-82a6ddfd1a14' ,https://healthinspect.ca/Portal/Inspection/Details/1184d35d-eb92-44ae-bfec-82a6ddfd1a14,https://healthinspect.ca/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8
06/14/2023,Required,location.href = '/Portal/Inspection/Details/8627f159-1b3b-4e52-a7c6-ab09a2aa2b5c' ,https://healthinspect.ca/Portal/Inspection/Details/8627f159-1b3b-4e52-a7c6-ab09a2aa2b5c,https://healthinspect.ca/Portal/Facility/Details/9a333161-5836-4f3e-9b38-33569281d5c4
11/09/2022,Required,location.href = '/Portal/Inspection/Details/90dd4809-203a-4045-8052-40a2deb6e586' ,https://healthinspect.ca/Portal/Inspection/Details/90dd4809-203a-4045-8052-40a2deb6e586,https://healthinspect.ca/Portal/Facility/Details/9a333161-5836-4f3e-9b38-33569281d5c4
10/31/2022,Required,location.href = '/Portal/Inspection/Details/634fdc87-e07d-4a9a-9063-dec256576ea9' ,https://healthinspect.ca/Portal/Inspection/Details/634fdc87-e07d-4a9a-9063-dec256576ea9,https://healthinspect.ca/Portal/Facility/Details/9a333161-5836-4f3e-9b38-33569281d5c4
10/25/2023,Required,location.href = '/Portal/Inspection/Details/7969f1c8-6a1e-4271-9ea2-6a93fd295a5b' ,https://healthinspect.ca/Portal/Inspection/Details/7969f1c8-6a1e-4271-9ea2-6a93fd295a5b,https://healthinspect.ca/Portal/Facility/Details/c2845b6e-d5f4-495f-a813-c2bd640b7bae
05/10/2023,Required,location.href = '/Portal/Inspection/Details/a1d42023-f759-4c10-8522-392020fdfff5' ,https://healthinspect.ca/Portal/Inspection/Details/a1d42023-f759-4c10-8522-392020fdfff5,https://healthinspect.ca/Portal/Facility/Details/c2845b6e-d5f4-495f-a813-c2bd640b7bae
10/06/2022,Required,location.href = '/Portal/Inspection/Details/e901a370-982e-44b7-9998-bf76844b6987' ,https://healthinspect.ca/Portal/Inspection/Details/e901a370-982e-44b7-9998-bf76844b6987,https://healthinspect.ca/Portal/Facility/Details/c2845b6e-d5f4-495f-a813-c2bd640b7bae
