Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
T. M. Davies Community Centre / Arena,325 Anderson Drive  Lively ON P3Y 1J3,Refreshment / Concession Stand,26-Feb-2024,location.href = '/Facility/Details/10bc2676-6287-4759-816a-dcc443a73066' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/10bc2676-6287-4759-816a-dcc443a73066
Taco Bell/KFC,1349 Lasalle Blvd  Sudbury ON P3A 1Z2,Food Take Out,19-Apr-2024,location.href = '/Facility/Details/273c0f13-41c1-4a76-b52f-1be15257cde1' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/273c0f13-41c1-4a76-b52f-1be15257cde1
Tahini's,2408 Long Lake Road  Sudbury ON P3E 5H5,Restaurant,30-Jan-2024,location.href = '/Facility/Details/40e77804-36da-4751-b58e-03a369102edb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/40e77804-36da-4751-b58e-03a369102edb
Taj Bistro,151 Larch St  Sudbury ON P3E 1C3,Restaurant,06-Mar-2024,location.href = '/Facility/Details/b43ab766-0e90-4ddc-951b-193df7195a00' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b43ab766-0e90-4ddc-951b-193df7195a00
Tandoori Tastes,96 Larch Street  Sudbury ON P3E 1C1,Restaurant,17-Apr-2024,location.href = '/Facility/Details/7c720585-5c5e-4b4f-94dc-93646d165292' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7c720585-5c5e-4b4f-94dc-93646d165292
Tanner's Your Independent Grocer,745 Centre Street  Espanola ON P5E 1S8,Supermarket,24-Jan-2024,location.href = '/Facility/Details/93e99253-cb7e-4de9-aca4-7a6e6a09e09a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/93e99253-cb7e-4de9-aca4-7a6e6a09e09a
Tanner's Your Independent Grocer,745 Centre Street  Espanola ON P5E 1S8,Bakery (Retail and Production),24-Jan-2024,location.href = '/Facility/Details/706c4249-144d-421a-a7f5-24695b5f615f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/706c4249-144d-421a-a7f5-24695b5f615f
Tanner's Your Independent Grocer,745 Centre Street  Espanola ON P5E 1S8,Food Take Out,29-Feb-2024,location.href = '/Facility/Details/82be41de-991c-4264-8d4b-55943698359c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/82be41de-991c-4264-8d4b-55943698359c
Tanner's Your Independent Grocer,745 Centre Street  Espanola ON P5E 1S8,Butcher Shop,24-Jan-2024,location.href = '/Facility/Details/9c5d41cb-917b-480e-a8ea-b63a416457c5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9c5d41cb-917b-480e-a8ea-b63a416457c5
Tarini Bros. Meats Inc. (Front of Store),1055 Lorne Street  Sudbury ON P3C 4S5,Supermarket,26-Jan-2023,location.href = '/Facility/Details/a4fb1057-f0e8-4ddf-93ad-0b2e2342cd64' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a4fb1057-f0e8-4ddf-93ad-0b2e2342cd64
Tastes of Summer,Mobile food premises operating at varying locations,Mobile Food Premises,25-May-2023,location.href = '/Facility/Details/be41eac6-e442-496a-b821-e5f180ac00a8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/be41eac6-e442-496a-b821-e5f180ac00a8
Tea and Bloom,39 Durham Street  Sudbury ON P3E 3M2,Restaurant,18-Mar-2024,location.href = '/Facility/Details/70f43c14-bf4f-4b6f-ac20-5fc0568fab04' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/70f43c14-bf4f-4b6f-ac20-5fc0568fab04
Tee-Pee Takeout,"14 Water St, South  Baymouth ON P0P 1Z0",Food Take Out,08-Jun-2023,location.href = '/Facility/Details/6d8a1177-1617-458e-b16b-6572360afec8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6d8a1177-1617-458e-b16b-6572360afec8
Tehkummah Triangle Senior Citizen Hall,468 Highway  542A Tehkummah ON P0P 2C0,Special Event Banquet Hall,10-Apr-2024,location.href = '/Facility/Details/b2b05f19-e6c7-437d-b544-b3a97f47856d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b2b05f19-e6c7-437d-b544-b3a97f47856d
Temagami Outpost,7130 Maskinonge Lake  Rd Markstay ON P0M 2G0,Restaurant,31-Aug-2023,location.href = '/Facility/Details/d58c7c80-7dfe-4045-9826-a68c6ab187f2' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d58c7c80-7dfe-4045-9826-a68c6ab187f2
Terry's Your Independent Grocer,4764 Regional Rd 15  Chelmsford ON P0M 1L0,Food Take Out,27-Mar-2024,location.href = '/Facility/Details/67786231-6dd9-4846-bbac-1725f3d258f5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/67786231-6dd9-4846-bbac-1725f3d258f5
Terry's Your Independent Grocer,4764 Regional Road 15  Chelmsford ON P0M 1L0,Supermarket,16-Apr-2024,location.href = '/Facility/Details/ea0b5336-5d1f-4947-985b-3edf25d589b7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ea0b5336-5d1f-4947-985b-3edf25d589b7
Terry's Your Independent Grocer,4764 Regional Road 15  Chelmsford ON P0M 1L0,Butcher Shop,27-Mar-2024,location.href = '/Facility/Details/a3318714-92eb-40e2-b9e5-daf214ad22f3' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a3318714-92eb-40e2-b9e5-daf214ad22f3
Terry's Your Independent Grocer,4764 Regional Road  15 Chelmsford ON P0M 1L0,Bakery (Retail and Production),26-Mar-2024,location.href = '/Facility/Details/bc49a164-9855-4ac2-bd64-fcc2646cf7da' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bc49a164-9855-4ac2-bd64-fcc2646cf7da
Thai Express,1349 Lasalle Boulevard  Sudbury ON P3A 1Z2,Restaurant,25-Mar-2024,location.href = '/Facility/Details/447f4225-e02a-44ec-99a5-42729c75d51e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/447f4225-e02a-44ec-99a5-42729c75d51e
That's my Jam,209 Tuscany Trail  Sudbury ON P3E 0C8,Cannery,14-Aug-2023,location.href = '/Facility/Details/3c3e2ed7-f584-4bf0-a20a-e56a57881efa' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3c3e2ed7-f584-4bf0-a20a-e56a57881efa
The Alibi Room,113 Durham St  Sudbury ON P3E 3M7,Cocktail Bar / Beverage Room,22-Aug-2023,location.href = '/Facility/Details/fc7c19d6-8e59-447c-b892-889e1968a169' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/fc7c19d6-8e59-447c-b892-889e1968a169
The Amberwood Suites,1385 Regent St  Sudbury ON P3E 3Z1,Hospital / LTCF / Retirement Home / Institutional Setting,09-Feb-2024,location.href = '/Facility/Details/a84324dc-7dd0-4159-a456-929d6cf18bea' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a84324dc-7dd0-4159-a456-929d6cf18bea
The Apothebakery,192 Cote Boulevard  Hanmer ON P3P 1M7,Bakery (Retail and Production),26-Apr-2024,location.href = '/Facility/Details/98581127-3cda-4caf-abff-aa06974c2c42' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/98581127-3cda-4caf-abff-aa06974c2c42
The Apothebakery,192 Cote Boulevard  Hanmer ON P3P 1M7,Bakery (Retail and Production),,location.href = '/Facility/Details/5629e7ac-a4a9-4f95-a8b6-c608708cc6bd' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5629e7ac-a4a9-4f95-a8b6-c608708cc6bd
The Bargain Shop,54 Birch Street  Chapleau ON P0M 1K0,Food Store (Convenience / Variety),20-Nov-2023,location.href = '/Facility/Details/e790bbfd-e4b2-4ea2-998e-2becc923ed35' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e790bbfd-e4b2-4ea2-998e-2becc923ed35
The Beef 'n Bird,923 Lorne Street  Sudbury ON P3C 4R7,Restaurant,17-Jan-2024,location.href = '/Facility/Details/c150f4e2-6c33-4b04-9cef-57d3b997d7d8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c150f4e2-6c33-4b04-9cef-57d3b997d7d8
The Brittle Prince Bakery,2340 Louisa Drive  Sudbury ON P3E 4W8,Bakery (Retail and Production),01-Dec-2023,location.href = '/Facility/Details/f8df1722-9dd6-43b1-bcc4-a232c63882fb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f8df1722-9dd6-43b1-bcc4-a232c63882fb
The Cake Guy Sudbury,1582 Regent St  Sudbury ON P3E 3Z6,Bakery (Retail and Production),13-Feb-2024,location.href = '/Facility/Details/4c25d4ec-cf62-45bd-8e7e-b7f6caa27391' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4c25d4ec-cf62-45bd-8e7e-b7f6caa27391
The Candy Store,154 Durham St  Sudbury ON P3E 3M7,Food Store (Convenience / Variety),06-Mar-2024,location.href = '/Facility/Details/408762e1-503d-42a9-9a1e-dd3f637ddc06' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/408762e1-503d-42a9-9a1e-dd3f637ddc06
The Caramel Kitchen,3021 Highway 17  Wahnapitae ON P0M 3C0,Bakery (Retail and Production),23-May-2023,location.href = '/Facility/Details/0acc8a97-285c-45b6-8ced-27af3d70c3b5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0acc8a97-285c-45b6-8ced-27af3d70c3b5
The Carter House,77 Main Street  Kagawong ON P0P 1J0,Food Store (Convenience / Variety),18-Apr-2023,location.href = '/Facility/Details/8bd37b86-089f-48c6-b276-5a1f90cb6ae1' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8bd37b86-089f-48c6-b276-5a1f90cb6ae1
The Cliff Pub and Eatery,39 Balsam Street  Copper Cliff ON P0M 1N0,Restaurant,20-Feb-2024,location.href = '/Facility/Details/3ccc9a89-7046-4485-b88b-ed3645f0a8ed' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3ccc9a89-7046-4485-b88b-ed3645f0a8ed
The Cod Mothers Family Restaurant,55 Meredith Street  Gore Bay ON P0P 1H0,Restaurant,18-Mar-2024,location.href = '/Facility/Details/e1f03d3e-0f13-480c-a7be-8969943c60c7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e1f03d3e-0f13-480c-a7be-8969943c60c7
The Corner Store,428 Westmount Avenue  Sudbury ON P3A 5V8,Food Store (Convenience / Variety),09-Feb-2024,location.href = '/Facility/Details/06d14b84-7d6a-42d2-89c5-3d39a2785277' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/06d14b84-7d6a-42d2-89c5-3d39a2785277
The Daventry,1500 Regent St  Sudbury ON P3E 3Z6,Restaurant,29-Jan-2024,location.href = '/Facility/Details/eccd3684-eb45-4d90-8b7d-12bb18ebc5b3' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/eccd3684-eb45-4d90-8b7d-12bb18ebc5b3
The Daycare Of Colours,298 College Street  Sudbury ON P3C 4V7,Child-Care Setting Food Preparation,01-May-2024,location.href = '/Facility/Details/e4c5ad9d-8e52-43ee-b720-89e888eecd61' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e4c5ad9d-8e52-43ee-b720-89e888eecd61
The Doghouse Sports Bar & Eatery,25 Aldege St  Azilda ON P0M 1B0,Restaurant,06-Feb-2024,location.href = '/Facility/Details/f4ddc331-6cdc-46cd-bab7-a0014794fa03' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f4ddc331-6cdc-46cd-bab7-a0014794fa03
The Dominion Family Restaurant,12 Birch Street  Chapleau ON P0M 1K0,Restaurant,18-Jan-2024,location.href = '/Facility/Details/9f1b71f1-a0ab-4e7c-912f-d21b61f42a34' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9f1b71f1-a0ab-4e7c-912f-d21b61f42a34
The Dragonfly,205 Imperial St S  Massey ON P0P 1P0,Restaurant,19-Mar-2024,location.href = '/Facility/Details/4915a792-ce9c-402f-a29f-eb57d3a59706' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4915a792-ce9c-402f-a29f-eb57d3a59706
The Embassy Latino Market,1258 Kingsway  Sudbury ON P3B 2E8,Food Store (Convenience / Variety),25-Apr-2023,location.href = '/Facility/Details/3731f13b-4c2c-4e85-97c7-cca86a644425' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3731f13b-4c2c-4e85-97c7-cca86a644425
The Farmerette's Bakery,13790 Highway 540  Gore Bay ON P0P 1H0,Bakery (Retail and Production),,location.href = '/Facility/Details/1ab8bfc3-c5d2-4107-b011-b1329663d2c6' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1ab8bfc3-c5d2-4107-b011-b1329663d2c6
The Food Truck,1755 Lasalle Boulevard  Sudbury ON P3A 1Z8,Food Take Out,15-Jun-2023,location.href = '/Facility/Details/b1322c5d-f616-4e6d-ad14-0407f67c3f23' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b1322c5d-f616-4e6d-ad14-0407f67c3f23
The Funky Farm,449C Lake Road  St. Charles ON P0M 2W0,Bakery (Retail and Production),30-May-2023,location.href = '/Facility/Details/de0a1886-e313-4fd3-b546-0e755688e35e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/de0a1886-e313-4fd3-b546-0e755688e35e
The Go-Give Project,280 Larch Street  Sudbury ON P3B 1M1,Community Kitchen Meal Program,20-Mar-2024,location.href = '/Facility/Details/b2d1e772-2cdf-4ad6-8b47-28f6df15b857' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b2d1e772-2cdf-4ad6-8b47-28f6df15b857
The Grand,28 Elgin Street  Sudbury ON P3C 5B4,Cocktail Bar / Beverage Room,04-Mar-2023,location.href = '/Facility/Details/eabd2f05-6f2d-44ec-89e6-7e1bb208cc8a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/eabd2f05-6f2d-44ec-89e6-7e1bb208cc8a
The Honourable James Jerome Sports Complex,90 Centennial Drive  Sudbury ON P3E 2E2,Refreshment / Concession Stand,15-Aug-2023,location.href = '/Facility/Details/01ae7e4a-c065-49a5-8a3e-abaf8cd0030e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/01ae7e4a-c065-49a5-8a3e-abaf8cd0030e
The Horse Tavern,3560 Errington Ave  Chelmsford ON P0M 1L0,Cocktail Bar / Beverage Room,18-May-2023,location.href = '/Facility/Details/a47fda7c-3c9a-45df-bd6c-b987dd707bb8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a47fda7c-3c9a-45df-bd6c-b987dd707bb8
The House of Cobraa,579 Houle Road  Noelville ON P0M 2N0,Cannery,26-Feb-2024,location.href = '/Facility/Details/5e7f902e-4926-4b2e-b4cf-a5d34ea55823' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5e7f902e-4926-4b2e-b4cf-a5d34ea55823
The Hungry Bear Restaurant,20112 Hwy 69  Alban ON P0M 1A0,Restaurant,30-Aug-2023,location.href = '/Facility/Details/b5c83302-1068-4ff1-9b65-45cd5846e7e8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b5c83302-1068-4ff1-9b65-45cd5846e7e8
The Jarrett Centre,1125 Webbwood Drive  Sudbury ON P3C 3B6,Hospital / LTCF / Retirement Home / Institutional Setting,05-Dec-2023,location.href = '/Facility/Details/a71da35e-1cba-4073-940b-44ea2b864ae2' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a71da35e-1cba-4073-940b-44ea2b864ae2
The Kag Manitoulin,31 Main Street  Kagawong ON P0P 1J0,Mobile Food Premises,08-Jun-2023,location.href = '/Facility/Details/73b12e6f-466d-4945-8afd-ef8f3f62866a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/73b12e6f-466d-4945-8afd-ef8f3f62866a
The Keg,1396 Kingsway  Sudbury ON P3B 0A3,Restaurant,20-Feb-2024,location.href = '/Facility/Details/20a4a3c3-1f80-40ed-a6c1-7bd3fa88ded8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/20a4a3c3-1f80-40ed-a6c1-7bd3fa88ded8
The Kouzzina,1463 Lasalle Boulevard  Sudbury ON P3A 1Z8,Restaurant,10-Jan-2024,location.href = '/Facility/Details/c07286a7-af5a-49e1-86d3-0eda0409136a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c07286a7-af5a-49e1-86d3-0eda0409136a
The Lair,19 Regent Street  Sudbury ON P3C 4B7,Private Club,04-Mar-2023,location.href = '/Facility/Details/f8f35b34-5611-4ec3-b5c9-e98dfe3e5d06' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f8f35b34-5611-4ec3-b5c9-e98dfe3e5d06
The 'Lil' General Store,2 Main Street  Sultan Ontario P0M 2Z0,Food Store (Convenience / Variety),16-Apr-2024,location.href = '/Facility/Details/94e90247-856b-4fc6-a0a4-df00c969caa2' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/94e90247-856b-4fc6-a0a4-df00c969caa2
The Lions Club,2 Stull St  Capreol ON P0M 1H0,Full-Service Banquet Hall,15-Apr-2024,location.href = '/Facility/Details/d9cad4ea-e8cf-4e89-a9c9-9552fe8a8013' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d9cad4ea-e8cf-4e89-a9c9-9552fe8a8013
The Lodge at Pine Cove,1013 Hwy 528A  Noëlville ON P0M 2N0,Restaurant,12-Sep-2023,location.href = '/Facility/Details/d80c0d15-d7f1-4d7b-9de1-47a5be14afec' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d80c0d15-d7f1-4d7b-9de1-47a5be14afec
The Maples Golf & Sports Club,170 Wolseley Bay Rd  Noëlville ON P0M 2N0,Restaurant,29-Aug-2023,location.href = '/Facility/Details/76a8406e-db9e-48de-8263-b40cde33d743' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/76a8406e-db9e-48de-8263-b40cde33d743
The Market Place Sudbury,40 Elm Street  Sudbury ON P3C 1S8,Supermarket,02-May-2024,location.href = '/Facility/Details/ae7f261a-ea1a-4e5d-953d-3a8e5f88db20' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ae7f261a-ea1a-4e5d-953d-3a8e5f88db20
The Marketplace Sudbury,40 Elm Street  Sudbury ON P3C 1S8,Butcher Shop,02-May-2024,location.href = '/Facility/Details/5f686b3f-625b-4c67-b164-57e7c8eb7395' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5f686b3f-625b-4c67-b164-57e7c8eb7395
The Marketplace Sudbury,40 Elm Street  Sudbury ON P3C 1S8,Bakery (Retail and Production),02-May-2024,location.href = '/Facility/Details/c25d1d81-bf75-43ad-8231-651ea1e92f20' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c25d1d81-bf75-43ad-8231-651ea1e92f20
The Merchants Penny Farm Gate Market,2748 Main Street  Blezard Valley ON P0M 1E0,Bakery (Retail and Production),28-Jun-2023,location.href = '/Facility/Details/c503b0ea-4816-4be8-b743-eb51c456b8b0' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c503b0ea-4816-4be8-b743-eb51c456b8b0
The Nash Tavern,477 Notre Dame Avenue  Sudbury ON P3C 5K9,Restaurant,26-Jun-2023,location.href = '/Facility/Details/a040dc38-1e1f-4d0d-9f50-05cd2f96b875' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a040dc38-1e1f-4d0d-9f50-05cd2f96b875
The Nature Nook,205 Sables Street East  Massey ON P0P 1P0,Refreshment / Concession Stand,,location.href = '/Facility/Details/27e2d558-8fad-4973-8640-1e31be1171fa' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/27e2d558-8fad-4973-8640-1e31be1171fa
The Nickel Refillery,227 Regent Street  Sudbury ON P3C 4C4,Food Warehouse / Depot,23-Jan-2023,location.href = '/Facility/Details/e1768600-3287-4070-85ea-a735301b1b3a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e1768600-3287-4070-85ea-a735301b1b3a
The Nickel Refillery,227 Regent Street  Sudbury ON P3C 4C4,Satellite / Serving Kitchen,06-Jan-2023,location.href = '/Facility/Details/5ccbb807-2906-412f-b9e4-dfb06b800e00' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5ccbb807-2906-412f-b9e4-dfb06b800e00
The Night Owl/Books and Beans,158 Elgin Street  Sudbury ON P3E 3N5,Restaurant,17-Apr-2024,location.href = '/Facility/Details/0ac9af4e-89fb-453d-89e7-9c0b2082ae15' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0ac9af4e-89fb-453d-89e7-9c0b2082ae15
The Nutty Vegan,2-77 Davidson Street  Sudbury ON P3C 2C1,Bakery (Retail and Production),15-May-2023,location.href = '/Facility/Details/75bfbb95-f131-4966-bdd8-f5a22133ec6f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/75bfbb95-f131-4966-bdd8-f5a22133ec6f
The One Tot Stop Day Care,290 Algoma Street  Massey ON P0P 1P0,Child-Care Setting Catered,,location.href = '/Facility/Details/f45ed772-4e10-407b-9017-8688d2de4dc0' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f45ed772-4e10-407b-9017-8688d2de4dc0
The One Tot Stop Day Care (A.B Ellis Site),164 Mead Boulevard  Espanola ON P5E 1S5,Child-Care Setting Food Preparation,14-Feb-2024,location.href = '/Facility/Details/9f034e3e-82f0-40d6-ae2a-081eddef15c8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9f034e3e-82f0-40d6-ae2a-081eddef15c8
The One Tot Stop Day Care (S. Geiger Site),355 Government Road  Massey ON P0P 1P0,Child-Care Setting Food Preparation,23-Feb-2024,location.href = '/Facility/Details/9735dec8-a723-4012-8ce6-ff342fa4c0fa' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9735dec8-a723-4012-8ce6-ff342fa4c0fa
The One Tot Stop Day Care (St. Mary Site),290 Algoma Street  Massey ON P0P 1P0,Child-Care Setting Catered,25-Mar-2024,location.href = '/Facility/Details/777fe1e4-9d1e-456e-9b6d-aa00fd6c6885' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/777fe1e4-9d1e-456e-9b6d-aa00fd6c6885
The Orient Restaurant,900 Lasalle Boulevard  Sudbury ON P3A 5W8,Restaurant,07-Mar-2024,location.href = '/Facility/Details/744afd65-4f11-4403-b09a-ed677769b06d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/744afd65-4f11-4403-b09a-ed677769b06d
The Penalty Box,455 Government Rd  Massey ON P0P 1P0,Refreshment / Concession Stand,19-Mar-2024,location.href = '/Facility/Details/5bc3d998-266e-4077-89a2-171329625d7f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5bc3d998-266e-4077-89a2-171329625d7f
The Pickled Pig,3020 Old Highway 69 North  Val Caron ON P3N 1E4,Restaurant,11-Apr-2024,location.href = '/Facility/Details/5d4e60e2-f1c9-4a6a-8a45-8d86d00b876e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5d4e60e2-f1c9-4a6a-8a45-8d86d00b876e
The Port,60 Merideth Street E  Little Current ON P0P 1K0,Food Take Out,06-Jun-2023,location.href = '/Facility/Details/76992660-395e-42fa-9304-4ab4a9f6af0c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/76992660-395e-42fa-9304-4ab4a9f6af0c
The Purple Kitchen,302 Denis Crescent  Azilda P0M 1B0,Food Take Out,01-Feb-2024,location.href = '/Facility/Details/a3ee13a3-6f77-4f5a-a0f0-76bb27a471ef' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a3ee13a3-6f77-4f5a-a0f0-76bb27a471ef
The Refettorio,131 Durham Street  Sudbury ON P3E 3M9,Restaurant,07-Dec-2023,location.href = '/Facility/Details/d04cf207-acd5-4954-ae86-619ae06842c1' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d04cf207-acd5-4954-ae86-619ae06842c1
The Rock Harley Davidson,2240 Long Lake Road  Sudbury ON P3E 5H4,Food Store (Convenience / Variety),03-May-2023,location.href = '/Facility/Details/0bbbc07e-5b97-4ba9-bd63-731477b03270' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0bbbc07e-5b97-4ba9-bd63-731477b03270
The Shed,3369 Regional Road 15  Chelmsford ON P0M 1L0,Food Store (Convenience / Variety),05-Dec-2023,location.href = '/Facility/Details/7651a50d-e9b5-4bdf-ab7d-f5b18371c0ec' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7651a50d-e9b5-4bdf-ab7d-f5b18371c0ec
The Silver Bullet,593 Notre Dame Avenue  Sudbury ON P3C 5L4,Food Take Out,15-Apr-2024,location.href = '/Facility/Details/5902f0d5-478c-431d-adc5-823c0ee5b754' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5902f0d5-478c-431d-adc5-823c0ee5b754
The Smart Cookie,"77 Brunet Street, East  Azilda Ontario P0M 1B0",Bakery (Retail and Production),01-Aug-2023,location.href = '/Facility/Details/54421e71-0a16-489e-b3d5-33b5da9c9650' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/54421e71-0a16-489e-b3d5-33b5da9c9650
The Snack Shack,5 Perivale Road East  Spring Bay ON P0P 2B0,Food Store (Convenience / Variety),29-Jun-2023,location.href = '/Facility/Details/a7979b75-1d92-4155-aaa8-18161f3ad51c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a7979b75-1d92-4155-aaa8-18161f3ad51c
The Sugar Wood,116 Vaillancourt Crescent  Chelmsford ON P0M 1L0,Bakery (Retail and Production),29-May-2023,location.href = '/Facility/Details/1d18c1a9-b9bf-4d0c-970a-2da97eccb29a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1d18c1a9-b9bf-4d0c-970a-2da97eccb29a
