Critical Infractions Count,Non Critical Infractions Count,Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
1,0,Required,24-Feb-2023,location.href = '/Portal/Inspection/Details/ce67a8ae-3ba8-44b8-88d8-f228020f0bd7' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ce67a8ae-3ba8-44b8-88d8-f228020f0bd7,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
0,0,Required,09-Sep-2022,location.href = '/Portal/Inspection/Details/206b833f-c6e0-4b94-8bf1-0121642e022b' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/206b833f-c6e0-4b94-8bf1-0121642e022b,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
1,0,Follow-up,24-Oct-2023,location.href = '/Portal/Inspection/Details/8d33acf9-0ea5-47f6-aac1-7914e1ee59f0' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/8d33acf9-0ea5-47f6-aac1-7914e1ee59f0,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
2,1,Required,10-Oct-2023,location.href = '/Portal/Inspection/Details/590a9c3a-04e5-40cd-b357-f67fde35b5d9' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/590a9c3a-04e5-40cd-b357-f67fde35b5d9,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
0,0,Required,07-Feb-2023,location.href = '/Portal/Inspection/Details/98032ad1-35a3-4af7-9a00-56546f0dd81d' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/98032ad1-35a3-4af7-9a00-56546f0dd81d,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
0,2,Required,07-Sep-2022,location.href = '/Portal/Inspection/Details/d0a97b47-8fca-42d2-bc8c-7c5c916b06f5' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d0a97b47-8fca-42d2-bc8c-7c5c916b06f5,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
0,0,Required,23-Feb-2024,location.href = '/Portal/Inspection/Details/79495ce8-a6ee-488f-9023-32dadf402ad4' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/79495ce8-a6ee-488f-9023-32dadf402ad4,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35d09ad8-ce23-4ae4-9708-2dc73f07b200
0,0,Required,18-Apr-2024,location.href = '/Portal/Inspection/Details/014ee240-a5f6-4a07-9652-93145d3323bc' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/014ee240-a5f6-4a07-9652-93145d3323bc,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
0,0,Required,02-Nov-2023,location.href = '/Portal/Inspection/Details/6b9f5e6b-375d-4b0f-bfff-7ea920925a21' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/6b9f5e6b-375d-4b0f-bfff-7ea920925a21,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
1,0,Required,02-Mar-2023,location.href = '/Portal/Inspection/Details/79b86504-2f4d-4a08-b248-c46c447e0dfd' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/79b86504-2f4d-4a08-b248-c46c447e0dfd,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
1,0,Required,03-Oct-2022,location.href = '/Portal/Inspection/Details/31c163bb-2420-49db-80f2-18e0250df989' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/31c163bb-2420-49db-80f2-18e0250df989,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
0,0,Required,22-Jan-2024,location.href = '/Portal/Inspection/Details/d2e25743-5e1d-4746-a987-b81442b3629f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d2e25743-5e1d-4746-a987-b81442b3629f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
0,0,Required,27-Jul-2023,location.href = '/Portal/Inspection/Details/2f4f2c49-74cd-4671-9e42-8134d4920fbe' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2f4f2c49-74cd-4671-9e42-8134d4920fbe,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
0,0,Required,09-Feb-2023,location.href = '/Portal/Inspection/Details/681d9ec1-27b8-4c0e-b4ca-2517576d27f8' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/681d9ec1-27b8-4c0e-b4ca-2517576d27f8,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
0,0,Follow-up,27-Oct-2022,location.href = '/Portal/Inspection/Details/485f93f3-2303-4f07-b1db-808d5683a9c3' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/485f93f3-2303-4f07-b1db-808d5683a9c3,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
0,3,Required,08-Sep-2022,location.href = '/Portal/Inspection/Details/c3d3eeda-d403-48b3-8d3f-b1daa3b0521f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c3d3eeda-d403-48b3-8d3f-b1daa3b0521f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
0,0,Required,12-Mar-2024,location.href = '/Portal/Inspection/Details/d9109c71-16d9-4d22-ba8b-43f83b569fb4' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d9109c71-16d9-4d22-ba8b-43f83b569fb4,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
0,0,Required,11-Oct-2023,location.href = '/Portal/Inspection/Details/37d7ff6f-1a81-4b1c-bf4a-0f4afd7045dd' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/37d7ff6f-1a81-4b1c-bf4a-0f4afd7045dd,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
0,0,Required,13-Apr-2023,location.href = '/Portal/Inspection/Details/856fadba-191b-462d-93b1-3e0250a21f89' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/856fadba-191b-462d-93b1-3e0250a21f89,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
0,0,Required,22-Nov-2022,location.href = '/Portal/Inspection/Details/910cc54b-832d-4138-a423-3c2ccc11f201' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/910cc54b-832d-4138-a423-3c2ccc11f201,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
0,4,Required,24-Aug-2022,location.href = '/Portal/Inspection/Details/2031fd70-4fd6-477b-a5c9-c61d4f13c590' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2031fd70-4fd6-477b-a5c9-c61d4f13c590,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
0,0,Required,15-Aug-2023,location.href = '/Portal/Inspection/Details/88836b23-e096-47c3-81d6-63f1d3568569' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/88836b23-e096-47c3-81d6-63f1d3568569,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c305292a-b74e-40bc-bb6d-38bab4ca5210
0,0,Required,30-Aug-2022,location.href = '/Portal/Inspection/Details/d1ac0aae-bcc5-4a0c-afaa-ae37cd34e962' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d1ac0aae-bcc5-4a0c-afaa-ae37cd34e962,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c305292a-b74e-40bc-bb6d-38bab4ca5210
0,0,Required,04-Mar-2024,location.href = '/Portal/Inspection/Details/9613b756-a655-45b8-8fe0-99260f2ec984' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/9613b756-a655-45b8-8fe0-99260f2ec984,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/81c5a2d2-e259-4c44-b174-4857bb9a1a89
0,0,Required,14-Mar-2023,location.href = '/Portal/Inspection/Details/7fe41422-f4bb-48c8-b6bd-9c402c0978cc' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/7fe41422-f4bb-48c8-b6bd-9c402c0978cc,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/81c5a2d2-e259-4c44-b174-4857bb9a1a89
0,0,Required,10-May-2022,location.href = '/Portal/Inspection/Details/a1fe1ebf-e85b-4fc2-b26b-710617003c5e' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a1fe1ebf-e85b-4fc2-b26b-710617003c5e,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/81c5a2d2-e259-4c44-b174-4857bb9a1a89
0,0,Follow-up,11-Apr-2024,location.href = '/Portal/Inspection/Details/84c87446-011f-433e-99e7-b61511f9bb8f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/84c87446-011f-433e-99e7-b61511f9bb8f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,03-Apr-2024,location.href = '/Portal/Inspection/Details/549ac28e-3713-48bd-b0c2-44ff80fcfc64' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/549ac28e-3713-48bd-b0c2-44ff80fcfc64,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
3,4,Required,27-Mar-2024,location.href = '/Portal/Inspection/Details/ca3b9df9-2d28-43c8-8b1c-21bc8dea7ea7' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ca3b9df9-2d28-43c8-8b1c-21bc8dea7ea7,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,25-Oct-2023,location.href = '/Portal/Inspection/Details/24973ac8-5964-4a47-8d38-56f0f48ce27d' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/24973ac8-5964-4a47-8d38-56f0f48ce27d,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,20-Oct-2023,location.href = '/Portal/Inspection/Details/83d182f2-f5c5-466e-abe9-dd16c6a3d1da' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/83d182f2-f5c5-466e-abe9-dd16c6a3d1da,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
2,3,Required,18-Oct-2023,location.href = '/Portal/Inspection/Details/745a3ffa-5bf1-4fc4-82e0-29e450929fcd' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/745a3ffa-5bf1-4fc4-82e0-29e450929fcd,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,13-Sep-2023,location.href = '/Portal/Inspection/Details/24ff253f-7753-4ae6-aab1-f690fc4b760a' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/24ff253f-7753-4ae6-aab1-f690fc4b760a,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,1,Complaint,07-Sep-2023,location.href = '/Portal/Inspection/Details/f47eace2-4538-4e9c-a9bc-d6bb65f86b19' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/f47eace2-4538-4e9c-a9bc-d6bb65f86b19,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,23-Aug-2023,location.href = '/Portal/Inspection/Details/d27f272f-d3f1-4ed5-810f-ada06008a896' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d27f272f-d3f1-4ed5-810f-ada06008a896,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
1,2,Required,10-Aug-2023,location.href = '/Portal/Inspection/Details/b26259ab-3b95-486e-bf93-138d35e31019' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/b26259ab-3b95-486e-bf93-138d35e31019,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,19-Apr-2023,location.href = '/Portal/Inspection/Details/150fa201-3fca-411d-9702-e386fad3270e' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/150fa201-3fca-411d-9702-e386fad3270e,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,06-Apr-2023,location.href = '/Portal/Inspection/Details/850b2bd3-4ebf-47de-881a-5b6e95955c13' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/850b2bd3-4ebf-47de-881a-5b6e95955c13,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
2,1,Required,30-Mar-2023,location.href = '/Portal/Inspection/Details/51e1843e-1bc8-4047-9585-8dad0fa1cea9' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/51e1843e-1bc8-4047-9585-8dad0fa1cea9,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,09-Dec-2022,location.href = '/Portal/Inspection/Details/636b5b8a-fe0f-48d0-9f43-801541d884cb' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/636b5b8a-fe0f-48d0-9f43-801541d884cb,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
1,1,Required,01-Dec-2022,location.href = '/Portal/Inspection/Details/ef2ab438-1d81-4558-b419-45110d813e94' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ef2ab438-1d81-4558-b419-45110d813e94,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
0,0,Follow-up,31-Aug-2022,location.href = '/Portal/Inspection/Details/27d5b05a-5185-4e4f-9ff2-40f70250656b' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/27d5b05a-5185-4e4f-9ff2-40f70250656b,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
1,0,Follow-up,24-Aug-2022,location.href = '/Portal/Inspection/Details/b21b7bc7-746b-4b5b-8506-6ad463e5f1c3' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/b21b7bc7-746b-4b5b-8506-6ad463e5f1c3,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
1,0,Required,04-Aug-2022,location.href = '/Portal/Inspection/Details/4566a66f-a382-4125-a219-82172e1612b5' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4566a66f-a382-4125-a219-82172e1612b5,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
1,0,Required,28-Apr-2023,location.href = '/Portal/Inspection/Details/6aa78b63-340d-49c4-9d8c-2fa89119f164' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/6aa78b63-340d-49c4-9d8c-2fa89119f164,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/57102caf-661e-4f0b-89bd-d5dc81a83f5f
2,0,Required,20-Oct-2022,location.href = '/Portal/Inspection/Details/c114b4e6-a5c8-46bc-bdfc-1da30c019899' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c114b4e6-a5c8-46bc-bdfc-1da30c019899,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/57102caf-661e-4f0b-89bd-d5dc81a83f5f
0,0,Required,11-Mar-2024,location.href = '/Portal/Inspection/Details/ebab0180-e237-4235-bebc-7e56a604c700' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ebab0180-e237-4235-bebc-7e56a604c700,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853
0,0,Required,27-Sep-2023,location.href = '/Portal/Inspection/Details/d504287e-78eb-4562-901b-89d18bbed3ce' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d504287e-78eb-4562-901b-89d18bbed3ce,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853
0,0,Required,15-Mar-2023,location.href = '/Portal/Inspection/Details/d901f1ba-b1d3-4e19-a385-bc94168c7f52' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d901f1ba-b1d3-4e19-a385-bc94168c7f52,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853
1,0,Required,06-Jul-2022,location.href = '/Portal/Inspection/Details/36a55c8f-8200-4fac-9133-eb978bf3b5ce' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/36a55c8f-8200-4fac-9133-eb978bf3b5ce,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853
0,0,Required,11-Mar-2024,location.href = '/Portal/Inspection/Details/f7c27ab2-b490-40bd-be96-d77a0783345e' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/f7c27ab2-b490-40bd-be96-d77a0783345e,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3
0,0,Required,16-May-2023,location.href = '/Portal/Inspection/Details/36663759-07e6-4cb3-96a3-19aa7a63305c' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/36663759-07e6-4cb3-96a3-19aa7a63305c,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3
0,0,Required,04-Oct-2022,location.href = '/Portal/Inspection/Details/a43094e4-f0c5-4f2c-a13f-089123b8d913' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a43094e4-f0c5-4f2c-a13f-089123b8d913,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3
0,0,Required,21-Sep-2022,location.href = '/Portal/Inspection/Details/a7aa49c1-aff7-48ef-a563-c60146a7f3f7' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a7aa49c1-aff7-48ef-a563-c60146a7f3f7,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3
0,0,Required,30-Jan-2024,location.href = '/Portal/Inspection/Details/e495d3d1-1666-4a5d-aa2e-233ed7630639' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e495d3d1-1666-4a5d-aa2e-233ed7630639,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
0,0,Follow-up,25-Oct-2023,location.href = '/Portal/Inspection/Details/11cee6a4-c4a8-4fba-b97d-9fca2ffa2fc0' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/11cee6a4-c4a8-4fba-b97d-9fca2ffa2fc0,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
0,2,Required,16-Oct-2023,location.href = '/Portal/Inspection/Details/911ff195-8b0a-41b4-8cb6-4b5ee2588938' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/911ff195-8b0a-41b4-8cb6-4b5ee2588938,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
3,1,Required,08-May-2023,location.href = '/Portal/Inspection/Details/d135a6b5-b166-4f8f-a511-b9d8322c3506' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d135a6b5-b166-4f8f-a511-b9d8322c3506,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
1,0,Required,06-Feb-2023,location.href = '/Portal/Inspection/Details/879cc9e2-d425-4a15-8038-e323d059b7b6' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/879cc9e2-d425-4a15-8038-e323d059b7b6,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
0,0,Required,20-Oct-2022,location.href = '/Portal/Inspection/Details/2b66e423-be0b-4665-9755-9f7ee9be579f' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2b66e423-be0b-4665-9755-9f7ee9be579f,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
0,0,Required,10-Jun-2022,location.href = '/Portal/Inspection/Details/3439857a-88b7-4993-b4fa-5b1c0cb6efc8' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/3439857a-88b7-4993-b4fa-5b1c0cb6efc8,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
0,0,Required,10-May-2023,location.href = '/Portal/Inspection/Details/225dee33-cfc3-466d-81a9-ffd1263a927c' ,https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/225dee33-cfc3-466d-81a9-ffd1263a927c,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/180076bb-a218-4bf7-b0f4-ae385f485e8d
