url_inspection_full,inspection_results,actions_taken
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4ae7f3bd-3c44-41f8-a741-fa98c09d060f,"Critical Questions
Mechanical dishwashing requirements are met, if applicable (C)
Ensure iodine concentration is no less than 25 ppm at 24°C (75°F) or greater
Not in Compliance
Food protected from contamination or adulteration (C)
Store all food, including beverages, off the floor to prevent contamination
Not in Compliance
Non-Critical Questions
All hand washing stations supplied are adequately supplied (NC)
Provide soap in a dispenser at hand washing stations in food preparation area
Not in Compliance","Certificate of Inspection Posted
Action Required
Certified Food Handler on site
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2f427582-ec2a-4a95-80d2-dbb29d041250,No results to show,"Certificate of Inspection Posted
Education Provided On Site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4ffd0904-86f8-4957-9547-f4f359abd0c7,"Critical Questions
No critical questions found.
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Corrected During Inspection","Education Provided On Site
Certificate of Inspection Posted
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c09b939e-81df-4250-b9eb-c59a8b9dc5b8,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/27506859-15e0-42d2-aff8-bd38e358fe28,No results to show,"Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ce67a8ae-3ba8-44b8-88d8-f228020f0bd7,"Critical Questions
Food protected from contamination or adulteration (C)
Store raw foods separate and below cooked and/or ready-to-eat foods
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/206b833f-c6e0-4b94-8bf1-0121642e022b,No results to show,"Certificate of Inspection Posted
No Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/8d33acf9-0ea5-47f6-aac1-7914e1ee59f0,"Critical Questions
Potentially hazardous food is maintained at 4°C (40°F) or less (C)
Ensure all potentially hazardous foods are stored at 4°C (40°F) or less
Ensure all potentially hazardous foods have an internal temperature of 4°C (40°F) or less
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Education Provided On Site
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/590a9c3a-04e5-40cd-b357-f67fde35b5d9,"Critical Questions
Food protected from contamination or adulteration (C)
Protect food from contamination and adulteration
Store raw foods separate and below cooked and/or ready-to-eat foods
Corrected During Inspection
Potentially hazardous food is maintained at 4°C (40°F) or less (C)
Ensure all potentially hazardous foods are stored at 4°C (40°F) or less
Ensure all potentially hazardous foods have an internal temperature of 4°C (40°F) or less
Corrected During Inspection
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Ensure rooms where food is handled, processed, packaged, served, transported, manufactured, handled, sold, offered for sale and displayed are maintained in a sanitary condition
Corrected During Inspection","Certificate of Inspection Posted
Re-Inspection Required
Education Provided On Site
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/98032ad1-35a3-4af7-9a00-56546f0dd81d,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d0a97b47-8fca-42d2-bc8c-7c5c916b06f5,"Critical Questions
No critical questions found.
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Corrected During Inspection
Pest control records are available on site (NC)
Ensure all pest control records are retained on-site for at least one year
Have records available for review by a medical officer of health or a public health inspector upon request
Not in Compliance","Certificate of Inspection Posted
Food Handler Recertification Advised
Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/79495ce8-a6ee-488f-9023-32dadf402ad4,No results to show,"Certificate of Inspection Posted
Education Provided On Site
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/014ee240-a5f6-4a07-9652-93145d3323bc,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/6b9f5e6b-375d-4b0f-bfff-7ea920925a21,No results to show,"Certificate of Inspection Posted
Action Required
Food Handler Education on Site
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/79b86504-2f4d-4a08-b248-c46c447e0dfd,"Critical Questions
Potentially hazardous food is maintained at 4°C (40°F) or less (C)
Ensure that during the preparation, processing and manufacturing of potentially hazardous foods, they are not at a temperature between 4°C (40°F) and 60°C (140°F) for greater than 2 hours
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
No Action Required
Food Handler Recertification Advised
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/31c163bb-2420-49db-80f2-18e0250df989,"Critical Questions
Cloths and towels are maintained in clean, good repair and used for dedicated purposes only (C)
Ensure wiping cloths are kept in a sanitizing solution when not in use
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d2e25743-5e1d-4746-a987-b81442b3629f,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2f4f2c49-74cd-4671-9e42-8134d4920fbe,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/681d9ec1-27b8-4c0e-b4ca-2517576d27f8,No results to show,"Certificate of Inspection Posted
No Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/485f93f3-2303-4f07-b1db-808d5683a9c3,No results to show,No Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c3d3eeda-d403-48b3-8d3f-b1daa3b0521f,"Critical Questions
No critical questions found.
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Not in Compliance
Equipment, utensils, multi-service articles and all surfaces are properly constructed and maintained in good condition (NC)
Ensure equipment, utensils and multi-service articles and food contact surfaces are in good repair
Not in Compliance
Furniture, equipment and appliances in food handling and storage rooms are constructed and arranged so as to permit thorough cleaning and the maintenance of the premises in a clean and sanitary condition (NC)
Ensure equipment is constructed and arranged to permit cleaning in order to maintain premises in a clean and sanitary condition
Ensure appliances are constructed and arranged to permit cleaning in order to maintain premises in a sanitary condition
Remove all materials not associated with the daily operation of the premises
Not in Compliance","Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d9109c71-16d9-4d22-ba8b-43f83b569fb4,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/37d7ff6f-1a81-4b1c-bf4a-0f4afd7045dd,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/856fadba-191b-462d-93b1-3e0250a21f89,No results to show,"Certificate of Inspection Posted
No Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/910cc54b-832d-4138-a423-3c2ccc11f201,No results to show,No Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2031fd70-4fd6-477b-a5c9-c61d4f13c590,"Critical Questions
No critical questions found.
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Ensure rooms where food is handled, processed, packaged, served, transported, manufactured, handled, sold, offered for sale and displayed are kept free from materials and equipment not regularly used in them
Ensure rooms where food is handled, processed, packaged, served, transported, manufactured, handled, sold, offered for sale and displayed are maintained in a sanitary condition
Not in Compliance
Equipment, utensils, multi-service articles and all surfaces are properly constructed and maintained in good condition (NC)
Ensure equipment, utensils and multi-service articles and food contact surfaces are of sound and tight construction
Ensure equipment, utensils and multi-service articles and food contact surfaces are made of a form and material that can be readily cleaned and sanitized
Ensure food contact equipment and utensils are free from cracks, crevices and open seams
Not in Compliance
Furniture, equipment and appliances in food handling and storage rooms are constructed and arranged so as to permit thorough cleaning and the maintenance of the premises in a clean and sanitary condition (NC)
Ensure equipment is constructed and arranged to permit cleaning in order to maintain premises in a clean and sanitary condition
Remove all materials not associated with the daily operation of the premises
Not in Compliance
Surfaces that do not come in contact with food are cleaned and sanitized as often as is necessary to maintain them in a sanitary condition (NC)
Clean and sanitize non-food contact surfaces as often as necessary to maintain them in a sanitary condition
Ensure storage racks, shelves and pallets are clean and free from dust and/or debris
Not in Compliance","Certified Food Handler on site
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/88836b23-e096-47c3-81d6-63f1d3568569,No results to show,"Certificate of Inspection Posted
Water Sample Collected
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d1ac0aae-bcc5-4a0c-afaa-ae37cd34e962,No results to show,No Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/9613b756-a655-45b8-8fe0-99260f2ec984,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/7fe41422-f4bb-48c8-b6bd-9c402c0978cc,No results to show,"Certificate of Inspection Posted
No Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a1fe1ebf-e85b-4fc2-b26b-710617003c5e,No results to show,"Certificate of Inspection Posted
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/84c87446-011f-433e-99e7-b61511f9bb8f,No results to show,"Certified Food Handler on site
No Further Action Required
Progressive Enforcement Letter Issued"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/549ac28e-3713-48bd-b0c2-44ff80fcfc64,No results to show,"Certificate of Inspection Posted
Educational Materials Provided
Action Required
Certified Food Handler on site
Progressive Enforcement Letter Issued"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ca3b9df9-2d28-43c8-8b1c-21bc8dea7ea7,"Critical Questions
Food premises is protected against the entry and harbouring of pests (C)
Ensure premises is kept free from insects, rodents and other pests
Ensure the premises is kept free of conditions that lead to the harbouring or breeding of pests
Not in Compliance
Multi-service articles, utensils, and food contact surfaces are cleaned and sanitized after each use and as often as is necessary to maintain sanitary condition (C)
Clean and sanitize multi-service articles after each use
Corrected During Inspection
The premises is operated and maintained free from conditions that may constitute as a health hazard or adversely affect the sanitary operation of the premises (C)
Ensure the premises is free from conditions that may constitute as a health hazard
Not in Compliance
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Corrected During Inspection
Equipment, utensils, multi-service articles and all surfaces are properly constructed and maintained in good condition (NC)
Ensure equipment, utensils and multi-service articles and food contact surfaces are in good repair
Ensure food contact equipment and utensils are free from cracks, crevices and open seams
Ensure that all storage racks, shelves and pallets are in good repair
Not in Compliance
Furniture, equipment and appliances in food handling and storage rooms are constructed and arranged so as to permit thorough cleaning and the maintenance of the premises in a clean and sanitary condition (NC)
Ensure appliances are constructed and arranged to permit cleaning in order to maintain premises in a sanitary condition
Not in Compliance
Surfaces that do not come in contact with food are cleaned and sanitized as often as is necessary to maintain them in a sanitary condition (NC)
Clean and sanitize non-food contact surfaces as often as necessary to maintain them in a sanitary condition
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/24973ac8-5964-4a47-8d38-56f0f48ce27d,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/83d182f2-f5c5-466e-abe9-dd16c6a3d1da,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/745a3ffa-5bf1-4fc4-82e0-29e450929fcd,"Critical Questions
Food premises is protected against the entry and harbouring of pests (C)
Ensure premises is kept free from insects, rodents and other pests
Ensure the premises is kept free of conditions that lead to the harbouring or breeding of pests
Not in Compliance
Multi-service articles, utensils, and food contact surfaces are cleaned and sanitized after each use and as often as is necessary to maintain sanitary condition (C)
Change sanitizing solution for wiping cloths at a minimum of every 2 hours, or as often as is necessary to maintain the required concentration of the solution
Ensure where household bleach is used as a disinfectant, the sanitizing solution is at a concentration no less than 100 ppm
Corrected During Inspection
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure floors are kept clean and in good repair
Not in Compliance
Ventilation system is maintained to ensure the elimination of odours, fumes, vapours, smoke and excessive heat (NC)
Ensure ventilation system, exhaust hood, filters, and canopy are maintained in a clean and sanitary manner
Not in Compliance
Maintain sanitary facilities in a clean and sanitary manner, equipped with all necessary supplies (NC)
Ensure sanitary facility is kept clean and sanitary
Equip sanitary facility with single-service towels or an air dryer
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/24ff253f-7753-4ae6-aab1-f690fc4b760a,No results to show,"Certificate of Inspection Posted
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/f47eace2-4538-4e9c-a9bc-d6bb65f86b19,"Critical Questions
No critical questions found.
Non-Critical Questions
Maintain sanitary facilities in a clean and sanitary manner, equipped with all necessary supplies (NC)
Ensure sanitary facility is kept clean and sanitary
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d27f272f-d3f1-4ed5-810f-ada06008a896,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/b26259ab-3b95-486e-bf93-138d35e31019,"Critical Questions
Toxic or poisonous substances required for the maintenance of sanitary conditions within the food premises are stored and handled as prescribed in the regulation (C)
Store toxic and/or poisonous substances in container bearing identifying labels
Corrected During Inspection
Non-Critical Questions
Equipment, utensils, multi-service articles and all surfaces are properly constructed and maintained in good condition (NC)
Ensure equipment, utensils and multi-service articles and food contact surfaces are made of a form and material that can be readily cleaned and sanitized
Ensure food contact equipment and utensils are free from cracks, crevices and open seams
Not in Compliance
Surfaces that do not come in contact with food are cleaned and sanitized as often as is necessary to maintain them in a sanitary condition (NC)
Clean and sanitize non-food contact surfaces as often as necessary to maintain them in a sanitary condition
Ensure storage racks, shelves and pallets are clean and free from dust and/or debris
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/150fa201-3fca-411d-9702-e386fad3270e,No results to show,"Certificate of Inspection Posted
Educational Materials Provided
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/850b2bd3-4ebf-47de-881a-5b6e95955c13,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/51e1843e-1bc8-4047-9585-8dad0fa1cea9,"Critical Questions
Cloths and towels are maintained in clean, good repair and used for dedicated purposes only (C)
Keep cloths and towels clean, in good repair, and restricted to a single task
Replace cloths and towels as often as necessary to keep in sanitary condition
Ensure wiping cloths are kept in a sanitizing solution when not in use
Corrected During Inspection
Mechanical dishwashing requirements are met, if applicable (C)
Ensure wash water is between 60°C (140°F) and 71°C (160°F)
Not in Compliance
Non-Critical Questions
Furniture, equipment and appliances in food handling and storage rooms are constructed and arranged so as to permit thorough cleaning and the maintenance of the premises in a clean and sanitary condition (NC)
Remove all materials not associated with the daily operation of the premises
Not in Compliance","Certificate of Inspection Posted
Action Required
Certified Food Handler on site
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/636b5b8a-fe0f-48d0-9f43-801541d884cb,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ef2ab438-1d81-4558-b419-45110d813e94,"Critical Questions
Cloths and towels are maintained in clean, good repair and used for dedicated purposes only (C)
Ensure wiping cloths are kept in a sanitizing solution when not in use
Corrected During Inspection
Non-Critical Questions
Surfaces that do not come in contact with food are cleaned and sanitized as often as is necessary to maintain them in a sanitary condition (NC)
Clean and sanitize non-food contact surfaces as often as necessary to maintain them in a sanitary condition
Ensure storage racks, shelves and pallets are clean and free from dust and/or debris
Not in Compliance","Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/27d5b05a-5185-4e4f-9ff2-40f70250656b,No results to show,"Certificate of Inspection Posted
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/b21b7bc7-746b-4b5b-8506-6ad463e5f1c3,"Critical Questions
Mechanical dishwashing requirements are met, if applicable (C)
Ensure wash water is between 60°C (140°F) and 71°C (160°F)
Ensure chlorine sanitizer is no less than 100 ppm at 24°C (75°F) or greater
Not in Compliance
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Action Required
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/4566a66f-a382-4125-a219-82172e1612b5,"Critical Questions
Mechanical dishwashing requirements are met, if applicable (C)
Ensure wash water is between 60°C (140°F) and 71°C (160°F)
Ensure chlorine sanitizer is no less than 100 ppm at 24°C (75°F) or greater
Not in Compliance
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Action Required
Certified Food Handler on site
Re-Inspection Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/6aa78b63-340d-49c4-9d8c-2fa89119f164,"Critical Questions
Food protected from contamination or adulteration (C)
Protect food from contamination and adulteration
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/c114b4e6-a5c8-46bc-bdfc-1da30c019899,"Critical Questions
Manual dishwashing requirements are met (C)
Follow the two-compartment sink method: wash and rinse in first sink, sanitize in second sink
Ensure chlorine sanitizer is no less than 100 ppm at 24°C (75°F) or greater for at least 45 seconds
Corrected During Inspection
Food protected from contamination or adulteration (C)
Protect food from contamination and adulteration
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/ebab0180-e237-4235-bebc-7e56a604c700,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d504287e-78eb-4562-901b-89d18bbed3ce,No results to show,"Certificate of Inspection Posted
Water Sample Collected
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d901f1ba-b1d3-4e19-a385-bc94168c7f52,No results to show,"Certificate of Inspection Posted
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/36a55c8f-8200-4fac-9133-eb978bf3b5ce,"Critical Questions
Multi-service articles, utensils, and food contact surfaces are cleaned and sanitized after each use and as often as is necessary to maintain sanitary condition (C)
Change sanitizing solution for wiping cloths at a minimum of every 2 hours, or as often as is necessary to maintain the required concentration of the solution
Maintain concentration of sanitizing solutions according to manufacturer's instructions
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Certificate of Inspection Posted
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/f7c27ab2-b490-40bd-be96-d77a0783345e,No results to show,"Certificate of Inspection Posted
Certified Food Handler on site
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/36663759-07e6-4cb3-96a3-19aa7a63305c,No results to show,"Certificate of Inspection Posted
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a43094e4-f0c5-4f2c-a13f-089123b8d913,No results to show,"No Action Required
Certified Food Handler on Duty
Certificate of Inspection Posted"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/a7aa49c1-aff7-48ef-a563-c60146a7f3f7,No results to show,"Certified Food Handler on Duty
Certificate of Inspection Posted
Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/e495d3d1-1666-4a5d-aa2e-233ed7630639,No results to show,"Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/11cee6a4-c4a8-4fba-b97d-9fca2ffa2fc0,No results to show,"Certificate of Inspection Posted
Education Provided On Site
Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/911ff195-8b0a-41b4-8cb6-4b5ee2588938,"Critical Questions
No critical questions found.
Non-Critical Questions
All hand washing stations supplied are adequately supplied (NC)
Provide a mechanical hand dryer or single-service towels in a dispenser at hand washing stations in food preparation area
Not in Compliance
Maintain sanitary facilities in a clean and sanitary manner, equipped with all necessary supplies (NC)
Equip sanitary facility with single-service towels or an air dryer
Not in Compliance","Certificate of Inspection Posted
Re-Inspection Required
Education Provided On Site
Action Required
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/d135a6b5-b166-4f8f-a511-b9d8322c3506,"Critical Questions
Cloths and towels are maintained in clean, good repair and used for dedicated purposes only (C)
Ensure wiping cloths are kept in a sanitizing solution when not in use
Corrected During Inspection
Multi-service articles, utensils, and food contact surfaces are cleaned and sanitized after each use and as often as is necessary to maintain sanitary condition (C)
Ensure sanitizing solution is available for use at all times while the premises is in operation
Corrected During Inspection
Food protected from contamination or adulteration (C)
Ensure utensils and multi-service articles are stored in a manner preventing contamination
Corrected During Inspection
Non-Critical Questions
Floors, wall and ceilings are clean, in good repair and maintained in a sanitary manner (NC)
Ensure walls are kept clean and in good repair
Not in Compliance","Certificate of Inspection Posted
Education Provided On Site
Action Required
Food Handler Education on Site
Certified Food Handler on site"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/879cc9e2-d425-4a15-8038-e323d059b7b6,"Critical Questions
Food handlers who come into contact with food and utensils shall do so in a sanitary manner (C)
Ensure food handlers wash hands in between tasks, before starting or resuming food handling
Corrected During Inspection
Non-Critical Questions
No non-critical questions found.","Education Provided On Site
Certificate of Inspection Posted
Food Handler Education on Site
Certified Food Handler on site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/2b66e423-be0b-4665-9755-9f7ee9be579f,No results to show,No Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/3439857a-88b7-4993-b4fa-5b1c0cb6efc8,No results to show,Action Required
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/225dee33-cfc3-466d-81a9-ffd1263a927c,No results to show,"Certificate of Inspection Posted
Education Provided On Site
No Further Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/41863ea8-8996-49f3-be63-6bd159ec5c43,No results to show,"Education Provided On Site
Certificate of Inspection Posted
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/0552102f-99fa-43a0-8170-aefd0679ece9,No results to show,"Education Provided On Site
Certificate of Inspection Posted
No Action Required"
https://inspectourcommunity.hnhss.ca/Portal/Inspection/Details/db2f24d9-2a02-40b3-8a4b-c14f5a7d7049,No results to show,"Certificate of Inspection Posted
Education Provided On Site
No Further Action Required"
