Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Simcoe Caring Cupboard,Food Bank,06-Dec-2023,23 Kent St S. Simcoe ON N3Y 2X7,location.href = '/Portal/Facility/Details/d90f10b1-e4f3-40b1-beff-f31bc8225325' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d90f10b1-e4f3-40b1-beff-f31bc8225325
Simcoe Composite School,School Cafeteria,16-Jan-2024,40 Wilson Avenue Simcoe ON N3Y 2E5,location.href = '/Portal/Facility/Details/5496ef20-d625-4428-b968-85f0ec8e0f5d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/5496ef20-d625-4428-b968-85f0ec8e0f5d
Simcoe Convenience and Food Mart,Convenience / Variety,20-Jul-2023,3-8 Queensway E Simcoe ON N3Y 4M3,location.href = '/Portal/Facility/Details/64face4d-2fa7-46ca-a6d4-4e39e8f2ade7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/64face4d-2fa7-46ca-a6d4-4e39e8f2ade7
Simcoe Curling Club,Private Club,08-Feb-2024,172 South Dr Simcoe ON N3Y 1G6,location.href = '/Portal/Facility/Details/534535bf-a48a-4092-bcfa-1d309d9bec27' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/534535bf-a48a-4092-bcfa-1d309d9bec27
Simcoe Dollar Stop,Convenience / Variety,26-Jun-2023,127-150 West St Simcoe ON N3Y 5C1,location.href = '/Portal/Facility/Details/b95e54fb-76c5-41e4-b5c1-2778e89e20ed' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b95e54fb-76c5-41e4-b5c1-2778e89e20ed
Simcoe Gospel Chapel,Church Banquet Facility,25-Jan-2024,4152 Hwy 3 E. Simcoe ON N3Y 4K8,location.href = '/Portal/Facility/Details/33d4b06e-35b7-4732-b693-9a8fbece3bba' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/33d4b06e-35b7-4732-b693-9a8fbece3bba
Simcoe Heritage Retirement Home,Retirement Home,28-Feb-2024,182 Norfolk St. S. Simcoe ON N3Y 2W4,location.href = '/Portal/Facility/Details/02a349f2-8b2a-47b4-9b12-b7c98b074ec9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/02a349f2-8b2a-47b4-9b12-b7c98b074ec9
Simcoe Lions Chip Wagon,Special Event / Fair Coordinator,,101 First Avenue W Simcoe ON N3Y 2P6,location.href = '/Portal/Facility/Details/93b68ef1-ed21-456f-9210-4602722d46be' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/93b68ef1-ed21-456f-9210-4602722d46be
Simcoe Lions Park,Snack Bar / Refreshment Stand,,75 Davis St E. Simcoe ON N3Y 2R4,location.href = '/Portal/Facility/Details/f33ceeb5-14bf-4cf6-bad2-f0f7e4742146' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f33ceeb5-14bf-4cf6-bad2-f0f7e4742146
Simcoe Little Theatre,Cocktail Bar/Beverage Room,05-Dec-2023,33 Talbot St N Simcoe ON N3Y 4L2,location.href = '/Portal/Facility/Details/d036a6cd-7a7b-4bf3-98cd-ea9ca58dcb64' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d036a6cd-7a7b-4bf3-98cd-ea9ca58dcb64
Simcoe Natural Foods,Convenience / Variety,23-Jan-2024,479 Queensway W. Simcoe ON N3Y 4R5,location.href = '/Portal/Facility/Details/eb455d70-a8e7-45fd-8f91-02fa26f0c36e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/eb455d70-a8e7-45fd-8f91-02fa26f0c36e
Simcoe Peavey Mart,Convenience / Variety,03-May-2023,285 Queensway W. Simcoe ON N3Y 2M9,location.href = '/Portal/Facility/Details/cf540498-7f20-43db-89e8-4233e0dcf670' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/cf540498-7f20-43db-89e8-4233e0dcf670
Simcoe Recreation Centre Banquet,Community Hall,05-Mar-2024,182 South Dr Simcoe ON N3Y 4V5,location.href = '/Portal/Facility/Details/8370326d-7728-4c18-9784-1ea68ec27354' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8370326d-7728-4c18-9784-1ea68ec27354
Simcoe Seniors' Centre,Serving Kitchen,05-Mar-2024,182 South Dr Simcoe ON N3Y 4V5,location.href = '/Portal/Facility/Details/50d4bcc2-4211-4c0b-a0ef-ea7d11a3f4bb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/50d4bcc2-4211-4c0b-a0ef-ea7d11a3f4bb
Small Dimensions,Restaurant,07-Dec-2023,209 Chestnut St Dunnville ON N1A 2H2,location.href = '/Portal/Facility/Details/f61964ba-14e6-45f5-8f07-efb8e6d7bfa9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f61964ba-14e6-45f5-8f07-efb8e6d7bfa9
Smelser Meats Ltd.,Butcher Shop,24-Apr-2023,4643 Hwy 3 Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/3402eb68-410b-4052-815a-ef4346e02f05' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3402eb68-410b-4052-815a-ef4346e02f05
So Mexican - Delivery Truck,Catering Vehicle,05-Apr-2023,175 Robinson Street Simcoe ON N3Y 5L6,location.href = '/Portal/Facility/Details/9ff53c8a-2bb0-4e79-a9bb-5620c0caba2e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9ff53c8a-2bb0-4e79-a9bb-5620c0caba2e
So Mexican! Eatery,Restaurant,25-Jan-2024,150 West St Simcoe ON,location.href = '/Portal/Facility/Details/6d24d804-5347-4bc5-9fb9-449aa7f65874' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d24d804-5347-4bc5-9fb9-449aa7f65874
Sobeys,Supermarket,06-Feb-2024,438 Norfolk St S. Simcoe ON N3Y 2X3,location.href = '/Portal/Facility/Details/2fd5a805-8591-460c-9985-41b9733e129a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/2fd5a805-8591-460c-9985-41b9733e129a
Sobeys,Supermarket,04-Dec-2023,1012 Broad St E. Dunnville ON N1A 2Z2,location.href = '/Portal/Facility/Details/1b2afcad-1349-42dd-ab34-a199642dccd5' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1b2afcad-1349-42dd-ab34-a199642dccd5
Something Special by Rachel,Home-Based Kitchen,14-Feb-2024,41 Hawtrey Road Delhi ON N4B 2W6,location.href = '/Portal/Facility/Details/e2932ebf-bfaa-4ca7-91ae-bde1ed7db91a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e2932ebf-bfaa-4ca7-91ae-bde1ed7db91a
Sosnicki Organics,Farmers Market Vendor,17-Oct-2023,135 Main St. South Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/bc78a602-00e0-4837-9fb6-019d73cad6fa' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/bc78a602-00e0-4837-9fb6-019d73cad6fa
South Cayuga Community Church,Church Banquet Facility,27-Mar-2024,6182 Rainham Rd Dunnville ON N1A 2W8,location.href = '/Portal/Facility/Details/f194ef91-17b3-466f-a45d-1cbaea5479a1' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f194ef91-17b3-466f-a45d-1cbaea5479a1
Springvale Be in Christ Church,Church Banquet Facility,07-Nov-2023,2602 Haldimand Rd 55 Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/6b792491-055b-477b-8e5a-958fcc039a8b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6b792491-055b-477b-8e5a-958fcc039a8b
Springvale United Church,Church Banquet Facility,14-Nov-2023,2647 County Road 55 Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/59be3988-3ac7-461c-a9c1-3cbcea57cdd9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/59be3988-3ac7-461c-a9c1-3cbcea57cdd9
Springview Farm Golf,Restaurant,20-Jun-2022,657 Culver Side Rd Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/2cba2545-6f32-4bbd-9dd3-a22761116164' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/2cba2545-6f32-4bbd-9dd3-a22761116164
Sprucedale Youth Centre Cafeteria,Correctional Facility,11-Dec-2023,PO BOX 606-660 Ireland Rd Simcoe ON N3Y 4L8,location.href = '/Portal/Facility/Details/5258afd8-c6ba-4030-98e6-e88ac9d8b41a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/5258afd8-c6ba-4030-98e6-e88ac9d8b41a
Squires Pizza,Restaurant,19-Apr-2024,210 George St Dunnville ON N1A 2T4,location.href = '/Portal/Facility/Details/d4969450-cc7d-4357-aed1-600a52ed7821' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d4969450-cc7d-4357-aed1-600a52ed7821
SRH Health Foods,Convenience / Variety,21-Nov-2023,143 Lock St E. Dunnville ON N1A 2H2,location.href = '/Portal/Facility/Details/8e34d624-4658-4749-b191-8e84fbccaf5e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8e34d624-4658-4749-b191-8e84fbccaf5e
St. Cecilia's Roman Catholic Church,Church Banquet Facility,07-Mar-2024,17 Lynn Park Dr Port Dover ON N0A 1N5,location.href = '/Portal/Facility/Details/c61c060a-46a7-4c4c-b4b7-069042e7405d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c61c060a-46a7-4c4c-b4b7-069042e7405d
St. John the Devine Anglican Church,Church Banquet Facility,,37 Ottawa St N. Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/32b2176c-aba2-48d6-9712-23300420e779' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/32b2176c-aba2-48d6-9712-23300420e779
St. John's Anglican Parish Hall,Community Kitchen,23-Nov-2023,879 Highway 24 S. Simcoe ON N3Y 4K2,location.href = '/Portal/Facility/Details/aea20ae9-ca43-4d33-977f-d0c7e236a126' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/aea20ae9-ca43-4d33-977f-d0c7e236a126
St. Joseph's Catholic School,School Nutrition Program,30-Nov-2023,34 Potts Rd Simcoe ON,location.href = '/Portal/Facility/Details/adf96432-4066-4645-bd20-10bda134bc88' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/adf96432-4066-4645-bd20-10bda134bc88
St. Mary's Church,Church Banquet Facility,11-Sep-2023,211 Union St Simcoe ON N3Y 2B3,location.href = '/Portal/Facility/Details/7872c515-4933-4c1c-877b-c34e4effeaa2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7872c515-4933-4c1c-877b-c34e4effeaa2
St. Mary's Roman Catholic Church,Church Banquet Facility,,94 Main St S. Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/bb13669c-b96e-4070-8eab-7cfc341329bb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/bb13669c-b96e-4070-8eab-7cfc341329bb
St. Patrick's Catholic Church,Church Banquet Facility,,107 Orkney St E Caledonia ON N3W 1C4,location.href = '/Portal/Facility/Details/b217fdc0-bd88-4bf9-aeca-d39e7e338362' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b217fdc0-bd88-4bf9-aeca-d39e7e338362
St. Patrick's Roman Catholic Church,Church Banquet Facility,,107 Orkney St E Caledonia ON N3W 1C4,location.href = '/Portal/Facility/Details/9e0abe82-8e33-4d1a-8401-52285b7b526a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9e0abe82-8e33-4d1a-8401-52285b7b526a
St. Paul's Anglican Church,Church Banquet Facility,21-Nov-2023,65 Talbot St E. Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/736afbe8-d053-48e6-a686-54f72e83dd24' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/736afbe8-d053-48e6-a686-54f72e83dd24
St. Paul's Anglican Church,Church Banquet Facility,,237 Lock St W. Dunnville ON N1A 1V3,location.href = '/Portal/Facility/Details/32d140a9-96ec-417e-8e0b-05e992724024' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/32d140a9-96ec-417e-8e0b-05e992724024
St. Paul's Anglican Church,Church Banquet Facility,,27 Orkney St E. Caledonia ON N3W 1K9,location.href = '/Portal/Facility/Details/de1ed06e-fdb4-44ef-86bf-37d569d76140' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/de1ed06e-fdb4-44ef-86bf-37d569d76140
St. Paul's Anglican Church,Church Banquet Facility,12-Dec-2023,302 St. George St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/e3f85460-5517-4bd7-8844-4ef436c98a0f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e3f85460-5517-4bd7-8844-4ef436c98a0f
St. Paul's Presbyterian,Church Banquet Facility,23-Nov-2023,85 Lot St Simcoe ON N3Y 1S4,location.href = '/Portal/Facility/Details/9fc4e144-b6f1-43b0-8836-7ecb736cdaaf' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9fc4e144-b6f1-43b0-8836-7ecb736cdaaf
St. Peter's Lutheran Church,Church Banquet Facility,01-Dec-2023,155 Colborne St N Simcoe ON N3Y 3V4,location.href = '/Portal/Facility/Details/dccc3e71-b31f-429d-b0c3-f9430c169f8f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/dccc3e71-b31f-429d-b0c3-f9430c169f8f
St. Vincent de Paul (Food bank),Food Bank,28-Nov-2023,211 Union St Simcoe ON N3Y 2B3,location.href = '/Portal/Facility/Details/d31dab70-909f-4c7a-8bc6-31c21908cca4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d31dab70-909f-4c7a-8bc6-31c21908cca4
St. Vincent de Paul Community Kitchen,Banquet Hall,15-Nov-2023,80 Colborne Street South Simcoe Ontario N3Y 4H5,location.href = '/Portal/Facility/Details/cf47e6f7-d974-4b38-89f4-18ba0e7d94a7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/cf47e6f7-d974-4b38-89f4-18ba0e7d94a7
St. Williams Community Centre,Community Hall,22-Mar-2024,80 Queen St W. St. Williams ON N0E 1P0,location.href = '/Portal/Facility/Details/0057abed-77ec-4504-bd22-0c3db77d1d9f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0057abed-77ec-4504-bd22-0c3db77d1d9f
St. Williams Gas & Variety,Convenience / Variety,18-Oct-2023,5 Highway 24 E St. Williams ON N0E 1P0,location.href = '/Portal/Facility/Details/f42c2e70-7e7f-4d59-92d8-222f2020eb04' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f42c2e70-7e7f-4d59-92d8-222f2020eb04
Stacked Pancake & Breakfast House,Restaurant,01-Feb-2024,"5-HN Plaza, 322 Argyle St S Caledonia ON N3W 2K2",location.href = '/Portal/Facility/Details/12360522-cc1a-47b1-b655-843d7fb34b55' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/12360522-cc1a-47b1-b655-843d7fb34b55
Stark's Golf Course,Snack Bar / Refreshment Stand,27-Jun-2023,60 Dedrick Rd Port Rowan ON N0E 1M0,location.href = '/Portal/Facility/Details/08cbdc68-68b5-44e3-bd01-b7c268b04c73' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/08cbdc68-68b5-44e3-bd01-b7c268b04c73
Steamies,Restaurant,20-Jul-2023,1012 Bay St Port Rowan ON N0E 1W0,location.href = '/Portal/Facility/Details/248f5746-0713-413e-970b-bec0cd8a0299' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/248f5746-0713-413e-970b-bec0cd8a0299
Stormin Garlic Kitchen,Home-Based Kitchen,06-Nov-2023,982 Burford-Delhi Townline Rd Scotland ON N0E 1R0,location.href = '/Portal/Facility/Details/613af1e2-5446-4fa1-a781-9961ec7e94b4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/613af1e2-5446-4fa1-a781-9961ec7e94b4
Strand Theatre,Snack Bar / Refreshment Stand,20-Dec-2022,55 Robinson St Simcoe ON N3Y 1W5,location.href = '/Portal/Facility/Details/858120d2-4d39-42f0-9fb5-482f0ccea898' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/858120d2-4d39-42f0-9fb5-482f0ccea898
Stubby's Grill & Dairy Freeze,Food Take Out,18-Jan-2024,319 James St Delhi ON N4B 2B3,location.href = '/Portal/Facility/Details/6d2971da-833c-4830-9c7e-8f4d22a18307' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d2971da-833c-4830-9c7e-8f4d22a18307
Stubs Grub (Take-Out & Variety),Food Take Out,21-Aug-2023,2 Beach Ave Long Point ON N0E 1J0,location.href = '/Portal/Facility/Details/5e71614e-4afa-44a6-9acd-acb554d5cac2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/5e71614e-4afa-44a6-9acd-acb554d5cac2
Subway,Restaurant,08-Jan-2024,345 Argyle St S. Caledonia ON N3W 1L8,location.href = '/Portal/Facility/Details/7c05bb07-2ef5-48ee-b09c-d82c27cd25c6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7c05bb07-2ef5-48ee-b09c-d82c27cd25c6
Subway,Food Take Out,23-Apr-2024,2-511 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/79207877-8578-41c4-bb80-8e3339ddd611' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/79207877-8578-41c4-bb80-8e3339ddd611
Subway,Restaurant,09-May-2023,8 Queensway E. Simcoe ON N3Y 4M3,location.href = '/Portal/Facility/Details/c80c9dba-ec79-4c90-ae22-8896cd3bf480' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c80c9dba-ec79-4c90-ae22-8896cd3bf480
Subway,Restaurant,20-Jun-2023,470 Norfolk St S Simcoe ON N3Y 1A6,location.href = '/Portal/Facility/Details/2f1ea733-52b4-4801-a5ad-8b7c6c8112cd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/2f1ea733-52b4-4801-a5ad-8b7c6c8112cd
Subway,Restaurant,14-Mar-2024,2 Talbot St W Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/29477b71-d0ab-4bc0-bce8-73deed066925' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/29477b71-d0ab-4bc0-bce8-73deed066925
Subway,Food Take Out,10-Jan-2024,422 James Street Delhi ON N4B 2B8,location.href = '/Portal/Facility/Details/1fa74713-598f-4fcd-8134-1edc08461809' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1fa74713-598f-4fcd-8134-1edc08461809
Subway Dunnville,Restaurant,09-Jan-2024,211 George St Dunnville ON N1A 2T5,location.href = '/Portal/Facility/Details/a179148f-7fc2-49a0-9258-f76e9fd25aa6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a179148f-7fc2-49a0-9258-f76e9fd25aa6
Subway Hagersville,Restaurant,16-Feb-2024,55 Main St N. Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/2e1ea61b-6b2f-4d32-8d13-95035273f0f4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/2e1ea61b-6b2f-4d32-8d13-95035273f0f4
Sugar Creme - Home Based Kitchen,Home-Based Kitchen,28-Nov-2023,2 Southwood Cres Caledonia ON N3W 0A7,location.href = '/Portal/Facility/Details/f86bc135-999f-4438-bb63-be5880e2c90d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f86bc135-999f-4438-bb63-be5880e2c90d
Sugar Magic Lollies,Bake Shop Vending Only,04-Dec-2023,"1195 Front Road, St Williams ON N0E 1P0",location.href = '/Portal/Facility/Details/8117f6ef-58ff-4655-9908-f679aae83452' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8117f6ef-58ff-4655-9908-f679aae83452
Sun Tan Motel & Restaurant,Restaurant,,85 Cedar Dr Turkey Point ON N0E 1T0,location.href = '/Portal/Facility/Details/d81ec224-690e-4c67-ae7b-38cb4a79f0ec' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d81ec224-690e-4c67-ae7b-38cb4a79f0ec
Sunflower Cafe,Restaurant,10-Apr-2024,1 Main Street W. Selkirk ON N0A 1P0,location.href = '/Portal/Facility/Details/6400dadf-3829-41cd-a444-bb7dba81d5bb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6400dadf-3829-41cd-a444-bb7dba81d5bb
Sunny Side Up!,Restaurant,29-Aug-2023,144 Queen St Dunnville ON N1A 1H7,location.href = '/Portal/Facility/Details/758387f3-8650-41bf-b20f-8efb0d21d119' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/758387f3-8650-41bf-b20f-8efb0d21d119
Swazzee's,Restaurant,19-Mar-2024,792 Old Highway 24 Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/04db07cc-1e9f-4953-98f8-a078f9409e9e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/04db07cc-1e9f-4953-98f8-a078f9409e9e
Sweet Little Things Bakery,Farmers Market Vendor,,2633 North Shore Drive Lowbanks ON N0A1K0,location.href = '/Portal/Facility/Details/287ed190-beff-446f-934b-e994fd631c0f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/287ed190-beff-446f-934b-e994fd631c0f
Sweet Retro-Spect,Ice Cream / Yogurt Vendor,05-Mar-2024,170 Queen St Dunnville ON N1A 1H7,location.href = '/Portal/Facility/Details/75a6fbc0-989b-436d-a50d-d40c36767327' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/75a6fbc0-989b-436d-a50d-d40c36767327
Sweets & Treats,Home-Based Kitchen,20-Nov-2023,3676 Highway 59 Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/57f67d9a-09df-4a91-8f9a-9ec51ef007c6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/57f67d9a-09df-4a91-8f9a-9ec51ef007c6
Swiss Chalet / Harvey's,Restaurant,19-Dec-2023,101 Queensway E. Simcoe ON N3Y 4M5,location.href = '/Portal/Facility/Details/447e9c20-33e4-495d-81be-dd624f68d22d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/447e9c20-33e4-495d-81be-dd624f68d22d
Swiss Chalet / Harvey's,Restaurant,20-Mar-2024,400 Simcoe St Tillsonburg ON N4G 4X1,location.href = '/Portal/Facility/Details/0c01c3ed-9a6c-46a5-ab23-dc639b3c7cb1' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0c01c3ed-9a6c-46a5-ab23-dc639b3c7cb1
Tacos N Tequila,Mobile Preparation Premises,14-Jul-2023,200 West Street Simcoe ON N3Y 4K8,location.href = '/Portal/Facility/Details/033a6aec-9c1c-4ac6-beef-ed899b8344d9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/033a6aec-9c1c-4ac6-beef-ed899b8344d9
Tai Shan Express,Restaurant,27-Mar-2024,151 West St Simcoe ON N3Y 1S7,location.href = '/Portal/Facility/Details/47e7ee24-a6d9-4d0e-9326-9e0e399779d5' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/47e7ee24-a6d9-4d0e-9326-9e0e399779d5
Talbot Gardens,Snack Bar / Refreshment Stand,06-Feb-2023,10 Talbot St N. Simcoe ON N3Y 3W4,location.href = '/Portal/Facility/Details/6d913078-e15d-4e89-be35-6b06190b2a65' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d913078-e15d-4e89-be35-6b06190b2a65
Talbot St. BBQ,Mobile Preparation Premises,05-Apr-2024,17 Talbot St. E Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/7b7b71f9-ecf4-43cb-82a6-a9b6a6d2a34a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7b7b71f9-ecf4-43cb-82a6-a9b6a6d2a34a
Talbot Street BBQ,Mobile Preparation Premises,27-Sep-2023,8 Ouse St Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/256fed68-2b86-4ee3-9b9d-c9239922d22a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/256fed68-2b86-4ee3-9b9d-c9239922d22a
Target Food Store,Convenience / Variety,23-Feb-2024,128 Queensway W. Simcoe ON N3Y 2M6,location.href = '/Portal/Facility/Details/3a3e2ead-cadc-4aed-a1e5-d99371ea44ac' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3a3e2ead-cadc-4aed-a1e5-d99371ea44ac
Taste of Latin,Mobile Preparation Premises,22-Apr-2024,2 Colborne St S. Simcoe ON N3Y 4H1,location.href = '/Portal/Facility/Details/fa531202-736a-4d54-bc08-ec4b0a12a518' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/fa531202-736a-4d54-bc08-ec4b0a12a518
Tastebudz Pizza Ltd.,Restaurant,01-Feb-2024,322 Argyle St S Caledonia ON N3W 1K8,location.href = '/Portal/Facility/Details/bbae3c33-bd76-4c22-96a8-4b62c7bf270e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/bbae3c33-bd76-4c22-96a8-4b62c7bf270e
Teal's Meats,Butcher Shop,26-May-2023,1812 Thompson Rd E Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/b1d02289-c46d-4b92-8c65-dc28edec5388' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b1d02289-c46d-4b92-8c65-dc28edec5388
Teeterville Public School Breakfast Program,School Nutrition Program,15-May-2023,229 Teeter Street Teeterville ON N0E 1S0,location.href = '/Portal/Facility/Details/6e330341-0522-43db-a1b0-d7fd47b04b20' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6e330341-0522-43db-a1b0-d7fd47b04b20
