Facility Name,Site Address,Community,Facility Type,url_entity_partial,category,Enforcement,Action Taken,Status,Date of Issuance,Details,Status Date,url_entity_full
Starbucks,420 Essa Rd  Barrie ON L4N 9J7,Barrie,Restaurant,location.href = '/Facility/Details/9cc01c00-d3e5-4d26-86f0-fef59a294b61' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9cc01c00-d3e5-4d26-86f0-fef59a294b61
Starbucks,177 Holland St E  Bradford ON L3Z 1X8,Bradford,Restaurant,location.href = '/Facility/Details/2ac14954-1134-4906-809a-badfbd4c1488' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2ac14954-1134-4906-809a-badfbd4c1488
Starbucks,9281 County Road 93  Midland ON L4R 0B1,Midland,Restaurant,location.href = '/Facility/Details/19a3bbfd-1c11-4b7e-b162-a077518e1501' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/19a3bbfd-1c11-4b7e-b162-a077518e1501
Starbucks,500 MR-118  Bracebridge ON P1L 1R2,Bracebridge,Food Take Out,location.href = '/Facility/Details/97528b4f-5f6d-45b8-a04e-7bcb800f80d9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/97528b4f-5f6d-45b8-a04e-7bcb800f80d9
Starbucks,3-482 Bayfield St  Barrie ON L4M 6A2,Barrie,Food Take Out,location.href = '/Facility/Details/3502db27-ef86-40c5-8c2a-850cdf48b4c0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3502db27-ef86-40c5-8c2a-850cdf48b4c0
Starbucks,311 Bayfield St  Barrie ON L4M 3C2,Barrie,Food Take Out,location.href = '/Facility/Details/28a73463-c3f2-4b1b-8728-677747adfdea' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/28a73463-c3f2-4b1b-8728-677747adfdea
Starbucks,1170 Muskoka Rd. S  Gravenhurst ON P1P 1K9,Gravenhurst,Food Take Out,location.href = '/Facility/Details/2b93fa0b-1770-44e0-99bf-741776d19f0d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2b93fa0b-1770-44e0-99bf-741776d19f0d
Starbucks,8A-30 45th St S  Wasaga Beach ON L9Z 0A6,Wasaga Beach,Food Take Out,location.href = '/Facility/Details/24aa4ca3-d886-44a2-9a92-42a90ebe139b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/24aa4ca3-d886-44a2-9a92-42a90ebe139b
Starbucks,2-179 Live Eight Way  Barrie ON L4N 0L1,Barrie,Restaurant,location.href = '/Facility/Details/5c75beba-159b-496c-82e9-5b090ad5b6bf' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5c75beba-159b-496c-82e9-5b090ad5b6bf
Starbucks,11 Bryne Dr  Barrie ON L4N 8V8,Barrie,Food Take Out,location.href = '/Facility/Details/0bce3203-4575-4f04-a4f6-58fa3ce568e7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/0bce3203-4575-4f04-a4f6-58fa3ce568e7
Starbucks,40 King St S  Alliston ON L9R 1H6,Alliston,Restaurant,location.href = '/Facility/Details/78acfc04-0fb5-48d6-bc18-578c25344018' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/78acfc04-0fb5-48d6-bc18-578c25344018
Starbucks,665 University Ave  Orillia ON L3V 6H2,Orillia,Restaurant,location.href = '/Facility/Details/51511a91-7f82-45a1-8b2f-655412242e6f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/51511a91-7f82-45a1-8b2f-655412242e6f
Starbucks,84 King William St  Huntsville ON P1H 1A5,Huntsville,Restaurant,location.href = '/Facility/Details/18cc0acf-399c-4ab8-b14d-5e961c952f6b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/18cc0acf-399c-4ab8-b14d-5e961c952f6b
Starbucks,201 Fairview Rd  Barrie ON L4N 9B1,Barrie,Restaurant,location.href = '/Facility/Details/dd564c4c-1faf-410a-bafc-2f8ad25fc31a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/dd564c4c-1faf-410a-bafc-2f8ad25fc31a
Starbucks,8825 Highway 11 N  Severn ON L3V 6S2,Severn,Restaurant,location.href = '/Facility/Details/037e3f87-a253-4185-b101-2d9734d7db72' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/037e3f87-a253-4185-b101-2d9734d7db72
Starbucks,318 Memorial Ave  Orillia ON L3V 5X6,Orillia,Restaurant,location.href = '/Facility/Details/e0abc3ec-5d64-41bf-90c3-260332cdcb51' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e0abc3ec-5d64-41bf-90c3-260332cdcb51
Starbucks,6400 Highway 400 S  Innisfil ON L9S 3R7,Innisfil,Food Take Out,location.href = '/Facility/Details/13989651-d515-47db-a820-3c403981270b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/13989651-d515-47db-a820-3c403981270b
Starbucks,235 Sunseeker Ave  Innisfil ON L9S 2N1,Innisfil,Restaurant,location.href = '/Facility/Details/b3081a70-b008-4610-a7e6-3b9b38a66b8a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b3081a70-b008-4610-a7e6-3b9b38a66b8a
Starbucks,D-1484 Innisfil Beach Rd  Alcona ON L9S 4J1,Alcona,Restaurant,location.href = '/Facility/Details/ca4bc45c-c490-41b2-878b-3251d60945e5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ca4bc45c-c490-41b2-878b-3251d60945e5
Starbucks,389 Yonge St  Barrie ON L4N 4C9,Barrie,Restaurant,location.href = '/Facility/Details/b829d2a0-9ae7-4a89-b99f-32932e184793' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b829d2a0-9ae7-4a89-b99f-32932e184793
Starbucks,640 First St  Collingwood ON L9Y 4Y7,Collingwood,Food Take Out,location.href = '/Facility/Details/e9040f6a-a66a-4d75-aa97-101831080e9a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e9040f6a-a66a-4d75-aa97-101831080e9a
Starbucks,496 Holland St. W  Bradford ON L3Z 0A2,Bradford,Restaurant,location.href = '/Facility/Details/1ab8bf8f-730d-409b-9091-0d81bab50dce' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1ab8bf8f-730d-409b-9091-0d81bab50dce
Starbucks,103 Mapleview Dr W  Barrie ON L4N 9H7,Barrie,Restaurant,location.href = '/Facility/Details/14c2e419-99b3-496c-89b8-090f420efe85' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/14c2e419-99b3-496c-89b8-090f420efe85
Starbucks,472 Bayfield St  Barrie ON L4M 5A2,Barrie,Food Take Out,location.href = '/Facility/Details/6f9cdccf-e923-488e-a356-12d13b4afeb6' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6f9cdccf-e923-488e-a356-12d13b4afeb6
Starbucks,289 Coldwater Rd W  Orillia ON L3V 6J3,Orillia,Food Take Out,location.href = '/Facility/Details/6237ef92-9095-4df3-8d0b-1a7f2517f640' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6237ef92-9095-4df3-8d0b-1a7f2517f640
Starbucks,620 Yonge St  Barrie ON L4N 4E6,Barrie,Food Take Out,location.href = '/Facility/Details/dbad9cb8-1701-4cab-91ef-1ba2f6a464af' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/dbad9cb8-1701-4cab-91ef-1ba2f6a464af
Starbucks (drive thru),6400 Highway 400 S  Innisfil ON L9S 3R7,Innisfil,Restaurant,location.href = '/Facility/Details/cfec1779-42eb-4db7-90dd-454f442c0a06' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cfec1779-42eb-4db7-90dd-454f442c0a06
Starport Severn,2658 Kellys Rd  Port Severn ON L0K 1S0,Port Severn,Convenience / Variety,location.href = '/Facility/Details/68333e7f-654a-4837-b75b-e4031477cba9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/68333e7f-654a-4837-b75b-e4031477cba9
State & Main Kitchen & Bar,3281 Monarch Dr  Orillia ON L3V 7X1,Orillia,Restaurant,location.href = '/Facility/Details/9142e26d-928a-4dac-b3c5-d203a9d85681' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9142e26d-928a-4dac-b3c5-d203a9d85681
State & Main Kitchen and Bar,467 Cundles St E  Barrie ON L4M 0G9,Barrie,Restaurant,location.href = '/Facility/Details/dc045de7-0cc5-4fac-ac6b-7abb175f730d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/dc045de7-0cc5-4fac-ac6b-7abb175f730d
Station on the Green,10 Caroline St E  Creemore ON L0M 1G0,Creemore,Banquet Hall,location.href = '/Facility/Details/75388662-3f41-4dec-8b75-136b55d32065' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/75388662-3f41-4dec-8b75-136b55d32065
Stay Fresh Sugarcane & Coconut,7-10 Main St  Wasaga Beach L9Z 2K3,Wasaga Beach,Ice Cream / Yogurt Vendor,location.href = '/Facility/Details/0bf93b1d-1a7e-4914-b782-9f30ef948923' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/0bf93b1d-1a7e-4914-b782-9f30ef948923
Stayner Care Centre,7308 Highway 26  Stayner ON L0M 1S0,Stayner,Long Term Care Kitchen,location.href = '/Facility/Details/07961739-e534-4dec-b8b8-a97921e120c4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/07961739-e534-4dec-b8b8-a97921e120c4
Stayner Collegiate Institute,7578 Highway 26  Stayner ON L0M 1S0,Stayner,Cafeteria,location.href = '/Facility/Details/aeb852ff-8083-4c84-a25d-a09943d2f4a5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/aeb852ff-8083-4c84-a25d-a09943d2f4a5
Stayner Collegiate Institute,7578 Highway 26  Stayner ON L0M 1S0,Stayner,Student Nutrition Program,location.href = '/Facility/Details/c2fef88d-4f1f-494b-b315-2e83148dda38' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c2fef88d-4f1f-494b-b315-2e83148dda38
"Stayner Community Centre and Arena, The",269 Regina St  Stayner ON L0M 1S0,Stayner,Food Take Out,location.href = '/Facility/Details/d3bbc4f2-d527-4118-b6f8-54421cf028d4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d3bbc4f2-d527-4118-b6f8-54421cf028d4
"Stayner Community Centre and Arena, The",269 Regina St  Stayner ON L0M 1S0,Stayner,Banquet Hall,location.href = '/Facility/Details/6d554661-dc6a-4832-85d3-afc0c8b182f0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6d554661-dc6a-4832-85d3-afc0c8b182f0
Stayner Granite Curling Club,25 Oak St  Stayner ON L0M 1S0,Stayner,Private Club,location.href = '/Facility/Details/9466f310-e89e-4e3c-ae43-af13eb47b263' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9466f310-e89e-4e3c-ae43-af13eb47b263
Steele Street Kids' Club,36 Steel St  Barrie ON L4M 2E7,Barrie,Child Care - School Age Program,location.href = '/Facility/Details/635640c1-54ba-42b7-bba4-f0f9aabc071a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/635640c1-54ba-42b7-bba4-f0f9aabc071a
Steele Street Public School,30 Steel St  Barrie ON L4M 2E7,Barrie,Student Nutrition Program,location.href = '/Facility/Details/620668da-8f96-461d-9425-b7512d89c35c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/620668da-8f96-461d-9425-b7512d89c35c
Steelers Restaurant & Pub,23 Queen St W  Elmvale ON L0L 1P0,Elmvale,Restaurant,location.href = '/Facility/Details/5f2f56e7-10e3-4dcc-bbca-60659f566631' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5f2f56e7-10e3-4dcc-bbca-60659f566631
Stephen's Butcher Shop,8 Harris St  Port Carling ON P0B 1J0,Port Carling,Butcher,location.href = '/Facility/Details/cb7c08b7-17d8-43d3-b67e-1c7d81f85ea8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cb7c08b7-17d8-43d3-b67e-1c7d81f85ea8
Stephens Fuels: Fuel and General Store,8907-32 Sideroad  Glencairn ON L0M 1K0,Glencairn,Convenience / Variety,location.href = '/Facility/Details/b45df70c-64b8-4239-93ca-aa2797b8c6ea' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b45df70c-64b8-4239-93ca-aa2797b8c6ea
Stephenson Community Hall,32 Township Hall Rd  Utterson ON P0B 1M0,Utterson,Banquet Hall,location.href = '/Facility/Details/5189e17d-b3d2-408e-8db9-d617609dc49f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5189e17d-b3d2-408e-8db9-d617609dc49f
Stepping Stone Early Learning Academy,180 Brock St  Gravenhurst ON P1P 1X2,Gravenhurst,Child Care - Preparation Onsite,location.href = '/Facility/Details/85999a27-a884-42db-8024-0f21311d9366' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/85999a27-a884-42db-8024-0f21311d9366
Stepping Stone Early Learning Academy,420 Muskoka District Rd 169  Gravenhurst ON P1P 1R2,Gravenhurst,Child Care - Preparation Onsite,location.href = '/Facility/Details/ed91b1ab-99f1-4b64-8328-568e8cf174f5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ed91b1ab-99f1-4b64-8328-568e8cf174f5
Stepping Stones Childcare,2-160 Beck St  Wasaga Beach ON L9Z 2K7,Wasaga Beach,Child Care - Preparation Onsite,location.href = '/Facility/Details/a2b29274-4053-42a5-93ce-eee7c5567ffa' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a2b29274-4053-42a5-93ce-eee7c5567ffa
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Butcher,location.href = '/Facility/Details/51549e78-8a3d-4f3b-85eb-df805d8b81c0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/51549e78-8a3d-4f3b-85eb-df805d8b81c0
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Bakery,location.href = '/Facility/Details/2af38b11-3a56-48f2-a26e-aa9f0125962d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2af38b11-3a56-48f2-a26e-aa9f0125962d
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Deli,location.href = '/Facility/Details/ea0cd2ea-fcae-4fc0-b265-c95a6876892b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ea0cd2ea-fcae-4fc0-b265-c95a6876892b
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Food Take Out,location.href = '/Facility/Details/7697b1e7-52b3-4750-96aa-8e4b7be208f3' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7697b1e7-52b3-4750-96aa-8e4b7be208f3
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Supermarket / Grocery,location.href = '/Facility/Details/7d1c1111-dc9d-44ea-838f-49a1a24dae2e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7d1c1111-dc9d-44ea-838f-49a1a24dae2e
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Salad - Production,location.href = '/Facility/Details/ae54eae2-8fda-42d1-a726-0a6b2860e774' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ae54eae2-8fda-42d1-a726-0a6b2860e774
Stevens' Your Independent Grocers,270 Wellington St  Bracebridge ON P1L 1B9,Bracebridge,Community Kitchen,location.href = '/Facility/Details/65ed53d5-2564-4a89-aeee-2af8a8f118b8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/65ed53d5-2564-4a89-aeee-2af8a8f118b8
Stevenson Inns & Spa,5923 County Rd 15  Alliston ON L9R 1V3,New Tecumseth,Bed and Breakfast,location.href = '/Facility/Details/1f09192b-fdde-4fb1-a75e-90d91c2177ed' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1f09192b-fdde-4fb1-a75e-90d91c2177ed
Stevenson Memorial Hospital,200 Fletcher Cres  Alliston ON L9R 1W7,Alliston,Hospital,location.href = '/Facility/Details/e185c8ff-71a1-4a0b-af71-3c30bdac90b2' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e185c8ff-71a1-4a0b-af71-3c30bdac90b2
Stewart Foodservice Inc.,201 Saunders Road  Barrie ON L4N 9A3,Barrie,Food Warehouse / Depot,location.href = '/Facility/Details/c9142b84-2eae-4ca9-b399-c1fe76043c19' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c9142b84-2eae-4ca9-b399-c1fe76043c19
Stone Gate Inn,437 Laclie St  Orillia ON L3V 4P7,Orillia,Restaurant,location.href = '/Facility/Details/b9c66c54-0877-4f8e-b871-fa8d99403df5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b9c66c54-0877-4f8e-b871-fa8d99403df5
Strake Sandwich Co.,280 First St  Collingwood ON L9Y 1B1,Collingwood,Mobile Preparation Premises,location.href = '/Facility/Details/63760809-8caa-4a79-9ef1-adb88b2cc418' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/63760809-8caa-4a79-9ef1-adb88b2cc418
Stroud Community Centre,7883 Yonge St  Stroud ON L9S 1K8,Stroud,Banquet Hall,location.href = '/Facility/Details/95b110bc-3850-4ae4-9ce2-d3386d4c486b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/95b110bc-3850-4ae4-9ce2-d3386d4c486b
Stroud Curling Club,A-7883 Yonge St  Stroud ON L9S 1K8,Stroud,Private Club,location.href = '/Facility/Details/4e909c8d-bdb8-41f7-8de5-c44f462a29b6' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4e909c8d-bdb8-41f7-8de5-c44f462a29b6
Sts. Volodymyr & Olha Ukrainian Catholic Church,5 Brook Avenue  Tiny ON LOL 2L0,Tiny,Serving Kitchen,location.href = '/Facility/Details/f978f7d0-7356-4450-83be-2da37b1b11af' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f978f7d0-7356-4450-83be-2da37b1b11af
Studabakers Beach Side,211 Mississaga St E  Orillia ON L3V 1W2,Orillia,Restaurant,location.href = '/Facility/Details/948edd46-b8ff-4ee3-9e9d-f9b39685d944' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/948edd46-b8ff-4ee3-9e9d-f9b39685d944
Studs Lonigans Pub,168 Main St  Wasaga Beach ON L9Z 2L2,Wasaga Beach,Restaurant,location.href = '/Facility/Details/fdd91bde-a08a-4ef0-a50e-09cd9e8e7fc2' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fdd91bde-a08a-4ef0-a50e-09cd9e8e7fc2
Study Hall,179 Mississaga St E  Orillia ON L3V 1V8,Orillia,Restaurant,location.href = '/Facility/Details/a3a702f2-b4b6-44a8-aa43-8a3ba672ada9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a3a702f2-b4b6-44a8-aa43-8a3ba672ada9
Submarine Supreme,562 Victoria St E  Alliston ON L9R 1K1,Alliston,Restaurant,location.href = '/Facility/Details/ff41a557-901b-4253-884b-9de0062698ee' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ff41a557-901b-4253-884b-9de0062698ee
Subway,D10-22 Dunham Dr  Alliston ON L9R 0G1,Alliston,Restaurant,location.href = '/Facility/Details/1a79b7c7-882f-45a1-868b-9d8669b7780b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1a79b7c7-882f-45a1-868b-9d8669b7780b
Subway,19 Mapleview Dr W  Barrie ON L4N 9H5,Barrie,Restaurant,location.href = '/Facility/Details/1355cac0-a31a-4603-b29f-a0d9b0adb3c7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1355cac0-a31a-4603-b29f-a0d9b0adb3c7
Subway,1-205 Memorial Ave  Orillia ON L3V 5X8,Orillia,Restaurant,location.href = '/Facility/Details/67abf9d6-de59-49c3-93d5-a7075f4fad7d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/67abf9d6-de59-49c3-93d5-a7075f4fad7d
Subway,410 Essa Rd  Barrie ON L4N 9J7,Barrie,Restaurant,location.href = '/Facility/Details/38ece5a3-48de-4b09-8765-a4cad91a4264' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/38ece5a3-48de-4b09-8765-a4cad91a4264
Subway,8-6048 Highway 9  New Tecumseth ON L0G 1T0,New Tecumseth,Restaurant,location.href = '/Facility/Details/59f39323-4f39-4a30-985c-8ab272eb0e6a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/59f39323-4f39-4a30-985c-8ab272eb0e6a
Subway,151 Medora St  Port Carling ON P0B 1J0,Port Carling,Food Take Out,location.href = '/Facility/Details/801a910b-e293-4176-ab06-8b7e06f8b49d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/801a910b-e293-4176-ab06-8b7e06f8b49d
Subway,6-547 Holland Street W  Bradford ON L3Z 0C1,Bradford,Restaurant,location.href = '/Facility/Details/ac30579e-6e74-4bce-9dfe-89658f9e49a2' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ac30579e-6e74-4bce-9dfe-89658f9e49a2
Subway,2-7 Commerce Rd  Angus ON L0M 1B2,Angus,Restaurant,location.href = '/Facility/Details/4db693a9-96c8-49c6-b4d4-8fa2b463c1ce' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4db693a9-96c8-49c6-b4d4-8fa2b463c1ce
Subway,1-331 Bayfield St  Barrie ON L4M 3C2,Barrie,Restaurant,location.href = '/Facility/Details/0b422554-c408-4d6b-93cb-903a0d0cd880' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/0b422554-c408-4d6b-93cb-903a0d0cd880
Subway,7380 Highway 26  Stayner ON L0M 1S0,Stayner,Restaurant,location.href = '/Facility/Details/9ed0c24c-9518-449c-8bfe-9898e7c9fae8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9ed0c24c-9518-449c-8bfe-9898e7c9fae8
Subway,C-827 Big Bay Point Rd  Barrie ON L4N 0G5,Barrie,Food Take Out,location.href = '/Facility/Details/67548020-1d96-4da7-9c52-c4733852ff12' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/67548020-1d96-4da7-9c52-c4733852ff12
Subway,190 Minet's Point Rd  Barrie ON L4N 4C3,Barrie,Food Take Out,location.href = '/Facility/Details/2a1c9c1e-a4c7-4cb4-b17d-c4d84a77ae8b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2a1c9c1e-a4c7-4cb4-b17d-c4d84a77ae8b
Subway,66 King William St  Huntsville ON P1H 1G5,Huntsville,Restaurant,location.href = '/Facility/Details/724e725f-b35b-4a6f-9e87-c1f433a6dd38' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/724e725f-b35b-4a6f-9e87-c1f433a6dd38
Subway,345 First St  Collingwood ON L9Y 1B3,Collingwood,Restaurant,location.href = '/Facility/Details/a609d3e0-79ec-40c2-89f0-c198593b90fa' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a609d3e0-79ec-40c2-89f0-c198593b90fa
Subway,A-10 Main Street  Wasaga Beach ON L9Z 2K3,Wasaga Beach,Food Take Out,location.href = '/Facility/Details/2d7edcdf-b7b3-4327-be02-bbcd90903583' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2d7edcdf-b7b3-4327-be02-bbcd90903583
Subway,5-8056 Yonge St  Innisfil ON L9S 1L6,Stroud,Food Take Out,location.href = '/Facility/Details/da208902-1c63-412d-a8a5-bd131155c36e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/da208902-1c63-412d-a8a5-bd131155c36e
Subway,36 Young St  Alliston ON L9R 1P8,Alliston,Food Take Out,location.href = '/Facility/Details/993a8f30-5256-4164-bf8b-af19cf0ba108' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/993a8f30-5256-4164-bf8b-af19cf0ba108
Subway,5-1491 Innisfil Beach Rd  Innisfil ON L9S 4B2,Alcona,Restaurant,location.href = '/Facility/Details/ef165a0f-e7a7-407f-9973-b36ff3475cf5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ef165a0f-e7a7-407f-9973-b36ff3475cf5
Subway,10-353 Duckworth St  Barrie ON L4M 5C2,Barrie,Restaurant,location.href = '/Facility/Details/555afb06-5995-4117-a01a-b64ee7ca2da4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/555afb06-5995-4117-a01a-b64ee7ca2da4
Subway,10-237 Mapleview Dr E  Barrie ON L4N0W5,Barrie,Food Take Out,location.href = '/Facility/Details/b2ef3541-3d2d-4143-a1cb-eff7c3242fa5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b2ef3541-3d2d-4143-a1cb-eff7c3242fa5
Subway,10-660 Atherley Rd  Orillia ON L3V 1P2,Orillia,Restaurant,location.href = '/Facility/Details/bfebf563-8bb5-4f2d-a589-f1ee11030b8e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/bfebf563-8bb5-4f2d-a589-f1ee11030b8e
Subway,982 Cedar Lane  Bracebridge ON P1L 0A2,Bracebridge,Food Take Out,location.href = '/Facility/Details/cfee9808-7f08-4766-b238-f2c554eb2512' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cfee9808-7f08-4766-b238-f2c554eb2512
Subway,5-627 River Rd W  Wasaga Beach ON L9Z 0A6,Wasaga Beach,Restaurant,location.href = '/Facility/Details/76bc6783-db4d-4f8a-a1ef-fcf206c0fe0e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/76bc6783-db4d-4f8a-a1ef-fcf206c0fe0e
